Game Started: 2025-07-31_15-17-31
Turn,FactionID,Population,Soldiers,Territory
10,1,7,13,10
10,2,74,13,9
10,3,197,13,10
10,4,186,13,10
10,5,109,13,9
20,1,34,15,10
20,2,35,14,9
20,3,197,14,10
20,4,186,14,10
20,5,147,15,11
30,1,38,16,10
30,2,108,15,10
30,3,13,15,10
30,4,178,15,10
30,5,107,17,12
40,1,57,17,10
40,2,97,16,10
40,3,195,16,10
40,4,84,17,11
40,5,88,19,13
50,1,71,18,10
50,2,81,17,10
50,3,184,17,10
50,4,27,18,12
50,5,97,21,14
60,1,6,19,11
60,2,89,19,12
60,3,182,18,10
60,4,74,20,12
60,5,8,22,14
70,1,149,21,12
70,2,121,20,12
70,3,79,20,11
70,4,53,22,13
70,5,113,24,14
80,1,124,23,13
80,2,153,21,12
80,3,102,21,11
80,4,32,24,14
80,5,105,26,15
90,1,192,24,13
90,2,97,23,13
90,3,151,23,13
90,4,136,26,16
90,5,144,28,16
100,1,86,26,13
100,2,149,24,13
100,3,96,25,14
100,4,2,28,17
100,5,73,30,16
110,1,186,28,15
110,2,190,25,13
110,3,59,27,15
110,4,176,30,17
110,5,33,31,16
120,1,159,31,17
120,2,45,27,13
120,3,46,29,16
120,4,135,32,17
120,5,162,33,16
