Game Started: 2025-07-31_14-40-08
Turn,FactionID,Population,Soldiers,Territory
10,1,263,12,9
10,2,243,12,10
10,3,132,13,9
10,4,101,13,9
10,5,284,12,9
20,1,249,13,9
20,2,246,13,10
20,3,152,14,9
20,4,96,14,9
20,5,256,13,9
30,1,230,14,9
30,2,232,14,10
30,3,174,15,9
30,4,95,15,9
30,5,234,14,9
40,1,221,15,9
40,2,190,15,11
40,3,204,16,9
40,4,78,16,9
40,5,186,15,10
50,1,212,16,9
50,2,191,16,11
50,3,210,17,9
50,4,54,17,9
50,5,168,16,10
60,1,200,17,9
60,2,179,17,11
60,3,40,18,9
60,4,44,17,9
60,5,185,17,10
70,1,171,18,9
70,2,177,18,11
70,3,67,20,9
70,4,239,18,9
70,5,155,18,11
80,1,166,19,9
80,2,145,19,12
80,3,82,21,9
80,4,52,19,9
80,5,208,19,11
90,1,108,20,10
90,2,216,20,12
90,3,120,22,9
90,4,239,20,9
90,5,248,20,11
100,1,88,20,10
100,2,252,21,12
100,3,128,23,9
100,4,41,21,9
100,5,292,21,11
110,1,46,22,11
110,2,90,22,12
110,3,140,24,9
110,4,226,22,9
110,5,121,22,11
120,1,245,22,11
120,2,130,24,12
120,3,183,25,9
120,4,220,23,9
120,5,125,24,12
130,1,211,23,12
130,2,112,25,13
130,3,215,26,9
130,4,197,24,9
130,5,140,25,13
140,1,168,24,13
140,2,153,26,13
140,3,48,28,9
140,4,176,25,9
140,5,219,26,13
150,1,197,25,13
150,2,230,27,13
150,3,42,29,9
150,4,179,26,9
150,5,118,27,13
160,1,222,26,13
160,2,257,28,14
160,3,51,30,9
160,4,168,27,9
160,5,157,29,14
170,1,259,27,13
170,2,137,30,14
170,3,75,31,9
170,4,173,28,9
170,5,249,30,15
180,1,89,28,13
180,2,196,31,14
180,3,76,32,9
180,4,147,29,9
180,5,157,32,15
190,1,126,30,13
190,2,274,32,14
190,3,112,33,9
190,4,147,30,9
190,5,300,33,15
200,1,116,31,14
200,2,147,34,14
200,3,141,34,9
200,4,148,31,9
200,5,197,35,16
210,1,130,32,15
210,2,200,35,14
210,3,146,35,9
210,4,142,32,9
210,5,138,36,17
220,1,173,33,15
220,2,260,36,14
220,3,184,36,9
220,4,133,33,9
220,5,249,38,18
230,1,222,34,15
230,2,132,38,14
230,3,205,37,9
230,4,113,34,9
230,5,202,40,18
240,1,237,35,16
240,2,144,39,15
240,3,37,38,9
240,4,116,35,9
240,5,140,42,19
250,1,73,37,17
250,2,246,40,15
250,3,49,40,9
250,4,100,36,9
250,5,263,43,20
260,1,163,38,17
260,2,127,42,15
260,3,72,41,9
260,4,107,37,9
260,5,217,45,21
270,1,258,39,17
270,2,167,43,16
270,3,105,42,9
270,4,103,38,9
270,5,184,47,22
280,1,150,41,17
280,2,248,44,17
280,3,117,43,9
280,4,104,39,9
280,5,217,49,22
290,1,249,42,17
290,2,194,46,17
290,3,131,44,9
290,4,109,40,9
290,5,254,51,22
300,1,138,44,17
300,2,57,48,19
300,3,147,45,9
300,4,102,41,9
300,5,268,53,23
310,1,241,45,17
310,2,240,49,19
310,3,175,46,9
310,4,106,42,9
310,5,81,56,25
320,1,148,47,17
320,2,178,51,21
320,3,189,47,9
320,4,83,43,9
320,5,137,58,27
330,1,238,48,18
330,2,210,53,21
330,3,205,48,9
330,4,79,44,9
330,5,143,60,27
340,1,199,50,18
340,2,226,55,21
340,3,34,49,9
340,4,70,45,9
340,5,128,63,27
350,1,129,52,18
350,2,246,57,21
350,3,59,51,9
350,4,56,45,9
350,5,136,66,27
360,1,204,53,19
360,2,281,59,21
360,3,67,52,9
360,4,41,46,9
360,5,285,69,29
370,1,89,54,20
370,2,52,62,22
370,3,91,53,9
370,4,235,47,9
370,5,307,72,30
380,1,234,56,20
380,2,267,63,23
380,3,107,54,9
380,4,227,48,9
380,5,269,75,32
390,1,183,58,20
390,2,134,66,23
390,3,103,55,9
390,4,221,49,9
390,5,261,78,34
400,1,119,60,20
400,2,199,68,23
400,3,124,56,9
400,4,212,50,9
400,5,201,82,34
410,1,93,61,20
410,2,169,70,25
410,3,141,57,9
410,4,197,51,9
410,5,244,85,36
420,1,184,63,21
420,2,237,72,25
420,3,152,58,9
420,4,186,52,9
420,5,202,89,36
430,1,111,64,22
430,2,90,74,25
430,3,180,59,9
430,4,182,53,9
430,5,270,92,38
440,1,44,67,23
440,2,184,77,25
440,3,193,60,9
440,4,185,54,9
440,5,205,96,40
450,1,247,68,24
450,2,255,79,25
450,3,20,61,9
450,4,182,55,9
450,5,240,100,40
460,1,90,70,24
460,2,53,82,27
460,3,26,62,9
460,4,168,56,9
460,5,307,104,40
