Game Started: 2025-07-31_13-36-00
Turn,FactionID,Population,Soldiers,Territory
10,1,126,7,19
10,2,142,7,19
10,3,174,7,19
10,4,107,7,19
10,5,110,7,19
20,1,23,10,39
20,2,109,11,39
20,3,97,11,39
20,4,160,10,39
20,5,45,10,39
30,1,10,16,59
30,2,148,17,59
30,3,97,16,62
30,4,68,15,59
30,5,32,16,59
40,1,181,24,79
40,2,109,25,79
40,3,182,25,92
40,4,48,23,79
40,5,30,24,79
50,1,108,33,99
50,2,151,36,99
50,3,134,38,122
50,4,100,33,99
50,5,61,34,99
60,1,122,45,119
60,2,90,49,130
60,3,188,54,153
60,4,104,45,123
60,5,50,46,119
70,1,9,60,153
70,2,134,68,177
70,3,2,73,198
70,4,94,60,166
70,5,1,62,150
80,1,13,79,211
80,2,69,92,234
80,3,191,99,275
80,4,121,82,218
80,5,28,82,208
90,1,531,107,362
90,2,562,122,296
90,3,1005,133,426
90,4,234,106,219
90,5,341,107,248
100,1,853,157,605
100,2,681,160,352
100,3,1399,191,651
100,4,102,131,222
100,5,568,137,294
110,1,859,233,715
110,2,644,204,370
110,3,1708,271,791
110,4,144,156,222
110,5,591,171,308
120,1,878,314,728
120,2,609,248,370
120,3,1693,364,834
120,4,120,181,222
120,5,490,205,308
130,1,909,397,728
130,2,673,292,383
130,3,1753,460,852
130,4,149,206,222
130,5,570,240,308
140,1,927,476,727
140,2,647,337,390
140,3,1760,556,853
140,4,172,231,222
140,5,455,274,308
150,1,982,559,727
150,2,592,384,390
150,3,1693,653,853
150,4,122,256,222
150,5,496,309,308
160,1,1009,636,725
160,2,537,431,390
160,3,1691,748,855
160,4,126,281,222
160,5,590,343,308
170,1,987,718,725
170,2,602,477,390
170,3,1827,845,855
170,4,179,306,222
170,5,439,377,308
