Game Started: 2025-07-31_13-21-34
Turn,FactionID,Population,Soldiers,Territory
10,1,131,9,18
10,2,96,8,18
10,3,88,8,18
10,4,102,8,18
10,5,78,8,18
20,1,166,17,38
20,2,136,17,38
20,3,127,17,38
20,4,57,18,47
20,5,39,17,32
30,1,170,32,58
30,2,131,32,58
30,3,48,32,61
30,4,19,38,80
30,5,128,29,42
40,1,143,54,73
40,2,59,55,88
40,3,47,58,107
40,4,47,71,133
40,5,56,46,64
50,1,168,80,85
50,2,133,91,132
50,3,430,103,177
50,4,528,125,217
50,5,183,70,91
60,1,14,112,125
60,2,1225,132,162
60,3,617,169,251
60,4,608,206,294
60,5,634,102,122
70,1,152,158,151
70,2,1775,191,226
70,3,872,262,343
70,4,718,315,387
70,5,839,142,142
80,1,173,208,158
80,2,2154,269,277
80,3,842,385,430
80,4,886,453,470
80,5,955,192,167
90,1,198,259,158
90,2,2498,364,327
90,3,1121,541,558
90,4,1008,617,544
90,5,914,250,189
100,1,32,311,159
100,2,3088,477,388
100,3,1364,741,700
100,4,1201,805,606
100,5,1068,312,203
110,1,179,362,161
110,2,3463,610,449
110,3,1597,986,815
110,4,1195,1007,639
110,5,1116,378,203
120,1,72,415,162
120,2,3836,763,502
120,3,1692,1265,877
120,4,1285,1214,642
120,5,1069,443,205
130,1,110,468,163
130,2,4074,930,535
130,3,1831,1554,912
130,4,1143,1425,648
130,5,1020,510,205
140,1,52,522,163
140,2,4010,1104,540
140,3,1796,1854,923
140,4,1124,1637,650
140,5,1010,576,205
150,1,107,575,163
150,2,4185,1281,545
150,3,1813,2156,925
150,4,1167,1850,650
150,5,1007,643,205
160,1,53,628,163
160,2,4079,1458,545
160,3,1909,2459,929
160,4,1299,2061,650
160,5,1095,709,205
170,1,188,675,162
170,2,4083,1633,546
170,3,1771,2760,930
170,4,1214,2271,650
170,5,972,776,205
180,1,36,720,162
180,2,4128,1809,549
180,3,1895,3063,933
180,4,1261,2479,649
180,5,1024,838,204
190,1,14,773,162
190,2,4109,1987,549
190,3,1825,3360,932
190,4,1215,2685,649
190,5,1164,903,205
200,1,101,806,162
200,2,4206,2154,549
200,3,1839,3644,931
200,4,1116,2893,650
