Game Started: 2025-07-31_14-49-30
Turn,FactionID,Population,Soldiers,Territory
10,1,150,13,9
10,2,60,13,9
10,3,118,13,9
10,4,73,14,10
10,5,150,13,9
20,1,71,15,10
20,2,26,14,9
20,3,139,14,9
20,4,185,16,12
20,5,189,14,9
30,1,67,17,11
30,2,101,15,10
30,3,175,15,9
30,4,67,19,13
30,5,127,16,10
40,1,181,19,13
40,2,95,16,10
40,3,43,18,11
40,4,162,21,14
40,5,119,19,13
50,1,35,22,14
50,2,190,17,11
50,3,125,19,11
50,4,72,24,15
50,5,39,21,13
60,1,64,24,15
60,2,186,18,11
60,3,137,21,12
60,4,147,26,15
60,5,152,22,13
70,1,146,26,16
70,2,183,19,11
70,3,125,23,13
70,4,74,29,16
70,5,92,24,13
80,1,159,28,16
80,2,88,21,12
80,3,127,27,17
80,4,117,31,16
80,5,0,25,13
90,1,161,30,16
90,2,17,22,13
90,3,165,30,19
90,4,79,34,17
90,5,124,27,13
100,1,89,33,17
100,2,158,24,14
100,3,62,33,19
100,4,59,37,18
100,5,119,30,15
