Game Started: 2025-07-31_14-51-40
Turn,FactionID,Population,Soldiers,Territory
10,1,80,14,10
10,2,126,13,9
10,3,169,2,5
10,4,29,14,10
10,5,102,23,9
20,1,185,16,12
20,2,152,14,9
20,3,47,3,5
20,4,72,15,10
20,5,124,24,9
30,1,29,18,13
30,2,162,15,9
30,3,120,3,5
30,4,133,16,10
30,5,138,25,9
40,1,135,22,16
40,2,191,16,9
40,3,183,3,5
40,4,179,17,10
40,5,194,27,11
50,1,181,25,18
50,2,30,19,11
50,3,48,4,5
50,4,21,18,10
50,5,71,28,11
60,1,61,28,18
60,2,93,20,11
60,3,117,4,5
60,4,178,20,11
60,5,118,30,11
70,1,70,31,19
70,2,83,22,12
70,3,196,4,5
70,4,122,23,13
70,5,198,32,13
80,1,24,34,21
80,2,190,23,12
80,3,63,5,5
80,4,178,25,14
80,5,201,34,14
90,1,175,37,21
90,2,50,25,12
90,3,139,5,5
90,4,157,28,16
90,5,94,36,14
100,1,89,41,22
100,2,128,26,12
100,3,210,5,5
100,4,148,30,16
100,5,239,38,16
110,1,9,44,23
110,2,107,28,13
110,3,83,6,5
110,4,30,32,17
110,5,171,40,16
120,1,157,48,24
120,2,9,29,13
120,3,152,6,5
120,4,86,36,20
120,5,92,41,16
130,1,107,52,25
130,2,93,31,13
130,3,36,6,5
130,4,91,39,21
130,5,246,43,16
140,1,112,56,26
140,2,175,32,13
140,3,104,7,5
140,4,4,41,21
140,5,220,46,18
150,1,38,59,26
150,2,59,34,13
150,3,166,7,5
150,4,119,44,21
150,5,123,49,19
160,1,10,63,27
160,2,145,35,13
160,3,39,8,5
160,4,25,47,23
160,5,164,51,19
170,1,23,67,28
170,2,56,37,13
170,3,108,8,5
170,4,99,51,24
170,5,165,53,19
180,1,132,72,30
180,2,114,39,15
180,3,77,9,6
180,4,105,54,24
180,5,72,55,20
190,1,3,76,31
190,2,136,41,16
190,3,79,10,7
190,4,196,57,25
190,5,209,58,21
200,1,124,81,32
200,2,79,43,16
200,3,217,10,7
200,4,4,60,25
200,5,68,60,21
210,1,161,85,32
210,2,129,45,17
210,3,148,11,7
210,4,100,64,26
210,5,109,63,21
220,1,130,90,33
220,2,90,47,17
220,3,97,12,7
220,4,106,68,29
220,5,144,66,23
230,1,122,95,34
230,2,80,49,17
230,3,30,12,7
230,4,54,71,30
230,5,160,69,24
240,1,102,100,35
240,2,86,51,17
240,3,152,13,7
240,4,158,75,30
240,5,239,72,26
250,1,36,105,38
250,2,138,53,18
250,3,73,14,7
250,4,125,79,31
250,5,126,75,27
260,1,138,111,39
260,2,48,56,19
260,3,197,14,7
260,4,118,83,32
260,5,225,80,31
270,1,142,116,39
270,2,145,58,20
270,3,140,15,7
270,4,196,87,33
270,5,176,84,32
280,1,171,122,41
280,2,133,61,22
280,3,148,16,8
280,4,178,92,35
280,5,228,87,32
290,1,162,128,43
290,2,131,64,23
290,3,107,17,8
290,4,19,97,37
290,5,194,91,33
300,1,40,134,45
300,2,86,68,26
300,3,56,18,8
300,4,178,102,38
300,5,128,95,34
310,1,49,140,47
310,2,89,71,26
310,3,205,18,8
310,4,104,107,38
310,5,164,99,37
320,1,194,146,47
320,2,119,74,26
320,3,204,19,9
320,4,127,112,40
320,5,143,102,37
330,1,105,152,49
330,2,15,77,27
330,3,174,20,9
330,4,21,116,40
330,5,109,106,37
340,1,168,159,50
340,2,90,81,27
340,3,146,21,9
340,4,17,121,41
340,5,131,110,38
350,1,122,166,52
350,2,136,84,27
350,3,124,22,9
350,4,21,126,41
350,5,68,114,38
360,1,144,173,54
360,2,102,88,29
360,3,105,23,9
360,4,6,131,41
360,5,89,118,39
370,1,14,180,56
370,2,68,91,30
370,3,111,24,10
370,4,48,136,42
370,5,90,122,39
380,1,100,187,57
380,2,180,95,30
380,3,137,25,11
380,4,65,141,42
380,5,219,127,42
390,1,9,195,58
390,2,95,99,30
390,3,196,26,12
390,4,139,147,43
390,5,139,132,44
400,1,58,202,58
400,2,105,103,32
400,3,220,27,12
400,4,28,152,44
400,5,113,137,46
410,1,119,209,58
410,2,144,107,33
410,3,36,28,12
410,4,70,157,44
410,5,106,141,47
420,1,4,217,59
420,2,191,111,33
420,3,64,30,12
420,4,104,163,45
420,5,167,147,50
430,1,51,224,59
430,2,25,115,34
430,3,77,31,12
430,4,135,168,45
430,5,209,152,50
440,1,106,231,59
440,2,71,119,34
440,3,109,32,12
440,4,143,173,45
440,5,106,157,51
450,1,26,239,60
450,2,126,124,34
450,3,162,33,13
450,4,22,178,46
450,5,61,163,53
460,1,108,246,60
460,2,56,128,35
460,3,202,34,13
460,4,143,184,47
460,5,204,169,54
470,1,47,254,61
470,2,179,133,35
470,3,64,36,13
470,4,111,189,48
470,5,133,176,58
480,1,6,262,62
480,2,52,137,35
480,3,103,37,13
480,4,69,195,49
480,5,211,182,59
490,1,182,270,63
490,2,150,142,35
490,3,143,38,13
490,4,18,201,49
490,5,152,188,61
500,1,168,278,64
500,2,87,146,36
500,3,221,39,14
500,4,122,207,49
500,5,133,195,62
510,1,192,286,64
510,2,194,151,36
510,3,75,22,12
510,4,51,212,49
510,5,154,173,64
520,1,182,294,64
520,2,90,155,36
520,3,125,16,11
520,4,199,218,49
520,5,153,174,65
530,1,134,301,64
530,2,8,160,36
530,3,140,17,11
530,4,135,224,49
530,5,187,180,65
540,1,54,309,64
540,2,102,165,36
540,3,149,18,10
540,4,64,229,49
540,5,162,183,66
550,1,53,317,64
550,2,7,169,36
550,3,156,19,10
550,4,194,235,49
550,5,182,189,66
560,1,31,325,64
560,2,137,174,36
560,3,154,20,10
560,4,148,241,49
560,5,228,197,66
570,1,186,333,64
570,2,63,178,36
570,3,163,21,10
570,4,86,246,49
570,5,216,204,66
580,1,161,341,64
580,2,159,183,36
580,3,170,22,10
580,4,48,252,49
580,5,232,211,66
590,1,127,348,64
590,2,61,187,36
590,3,175,23,10
590,4,189,258,49
590,5,258,218,66
600,1,106,356,64
600,2,169,192,36
600,3,171,22,10
600,4,126,264,49
600,5,110,219,66
610,1,116,364,64
610,2,53,196,36
610,3,168,17,9
610,4,30,269,49
610,5,130,219,67
620,1,121,372,64
620,2,6,201,36
620,3,167,18,9
620,4,154,275,49
620,5,145,226,67
630,1,74,380,64
630,2,117,206,36
630,3,184,19,9
630,4,83,280,49
630,5,147,233,67
640,1,39,388,64
640,2,32,210,36
640,3,188,20,9
640,4,58,286,49
640,5,147,240,67
650,1,194,396,64
650,2,137,215,36
650,3,177,21,9
650,4,11,292,49
650,5,165,247,67
660,1,43,404,64
660,2,15,219,36
660,3,189,22,9
660,4,151,298,49
660,5,179,254,67
670,1,185,412,64
670,2,118,224,36
670,3,187,23,9
670,4,67,303,49
670,5,190,261,67
680,1,120,419,64
680,2,6,228,36
680,3,182,24,9
680,4,17,309,49
680,5,181,268,67
690,1,143,427,64
690,2,142,233,36
690,3,174,25,9
690,4,164,315,49
690,5,179,275,67
700,1,105,435,64
700,2,94,238,36
700,3,171,26,9
700,4,59,320,49
700,5,214,283,67
710,1,145,443,64
710,2,173,242,36
710,3,160,27,9
710,4,1,326,49
710,5,86,290,67
720,1,175,452,64
720,2,119,247,36
720,3,140,28,9
720,4,151,332,49
720,5,88,297,67
730,1,172,460,64
730,2,58,251,36
730,3,150,29,9
730,4,125,337,49
730,5,129,304,67
740,1,158,468,64
740,2,189,256,36
740,3,159,29,9
740,4,64,343,49
740,5,196,305,67
750,1,122,475,64
750,2,103,261,36
750,3,176,30,9
750,4,197,349,49
750,5,205,312,67
760,1,91,483,64
760,2,196,265,36
760,3,188,31,9
760,4,100,354,49
760,5,217,320,67
770,1,90,491,64
770,2,106,270,36
770,3,190,32,9
770,4,35,360,49
770,5,251,327,67
780,1,75,499,64
780,2,35,274,36
780,3,195,33,9
780,4,198,366,49
780,5,92,334,67
790,1,39,507,64
790,2,109,279,36
790,3,178,34,9
790,4,125,372,49
790,5,156,341,67
800,1,11,515,64
800,2,10,283,36
800,3,174,35,9
800,4,46,377,49
800,5,184,348,67
810,1,192,523,64
810,2,92,288,36
810,3,174,36,9
810,4,2,383,49
810,5,230,356,67
820,1,189,531,64
820,2,17,292,36
820,3,182,37,9
820,4,140,389,49
820,5,209,363,67
830,1,175,539,64
830,2,130,297,36
830,3,188,38,9
830,4,80,394,49
830,5,197,370,67
840,1,125,546,64
840,2,194,301,36
840,3,177,39,9
840,4,5,400,49
840,5,243,377,67
850,1,70,554,64
850,2,68,305,36
850,3,189,40,9
850,4,145,406,49
850,5,74,384,67
860,1,70,562,64
860,2,13,310,36
860,3,202,37,9
860,4,110,412,49
860,5,64,386,67
870,1,86,570,64
870,2,128,315,36
870,3,210,38,9
870,4,67,417,49
870,5,134,393,67
880,1,34,578,64
880,2,20,319,36
880,3,216,39,9
880,4,3,423,49
880,5,210,393,67
890,1,191,586,64
890,2,117,324,36
890,3,213,40,9
890,4,132,429,49
890,5,247,401,67
900,1,188,594,64
900,2,24,328,36
900,3,202,41,9
900,4,16,434,49
900,5,72,408,67
910,1,153,602,64
910,2,172,333,36
910,3,193,40,9
910,4,150,440,49
910,5,89,401,67
920,1,103,609,64
920,2,79,337,36
920,3,191,41,9
920,4,65,445,49
920,5,134,408,67
930,1,35,617,64
930,2,198,342,36
930,3,186,35,9
930,4,193,451,49
930,5,169,409,67
940,1,4,625,64
940,2,91,347,36
940,3,188,36,9
940,4,161,457,49
940,5,182,416,67
950,1,191,633,64
950,2,155,351,36
950,3,192,37,9
950,4,134,463,49
950,5,237,424,67
960,1,185,641,64
960,2,85,355,36
960,3,181,38,9
960,4,105,468,49
960,5,95,431,67
970,1,154,649,64
970,2,61,360,36
970,3,183,39,9
970,4,11,474,49
970,5,138,433,67
980,1,135,656,64
980,2,186,365,36
980,3,184,40,9
980,4,160,480,49
980,5,178,440,67
990,1,122,664,64
990,2,106,370,36
990,3,178,41,9
990,4,83,485,49
990,5,196,447,67
1000,1,144,672,64
1000,2,199,374,36
1000,3,185,42,9
1000,4,46,491,49
1000,5,229,455,67
1010,1,101,680,64
1010,2,82,378,36
1010,3,176,43,9
1010,4,11,497,49
1010,5,84,462,67
1020,1,97,688,64
1020,2,185,383,36
1020,3,180,44,9
1020,4,122,503,49
1020,5,125,469,67
1030,1,68,696,64
1030,2,83,387,36
1030,3,179,45,9
1030,4,42,508,49
1030,5,165,476,67
1040,1,22,704,64
1040,2,16,392,36
1040,3,187,46,9
1040,4,184,514,49
1040,5,203,484,67
1050,1,168,712,64
1050,2,122,397,36
1050,3,202,47,9
1050,4,97,519,49
1050,5,257,491,67
1060,1,0,720,64
1060,2,64,401,36
1060,3,203,48,9
1060,4,59,525,49
1060,5,127,498,67
1070,1,187,728,64
1070,2,161,406,36
1070,3,196,49,9
1070,4,4,531,49
1070,5,158,505,67
1080,1,180,736,64
1080,2,59,410,36
1080,3,205,50,9
1080,4,114,537,49
1080,5,169,512,67
1090,1,0,744,64
1090,2,154,415,36
1090,3,197,51,9
1090,4,29,542,49
1090,5,239,520,67
1100,1,17,752,64
1100,2,48,419,36
1100,3,199,52,9
1100,4,141,548,49
1100,5,246,520,67
1110,1,194,760,64
1110,2,171,424,36
1110,3,198,53,9
1110,4,90,553,49
1110,5,99,527,67
1120,1,8,768,64
1120,2,57,428,36
1120,3,190,50,9
1120,4,16,559,49
1120,5,137,523,67
1130,1,192,776,64
1130,2,139,433,36
1130,3,187,48,9
1130,4,147,565,49
1130,5,171,525,67
1140,1,138,783,64
1140,2,48,437,36
1140,3,185,49,9
1140,4,89,570,49
1140,5,176,532,67
1150,1,84,791,64
1150,2,167,442,36
1150,3,185,50,9
1150,4,20,576,49
1150,5,223,540,67
1160,1,51,799,64
1160,2,58,446,36
1160,3,193,51,9
1160,4,183,582,49
1160,5,247,547,67
1170,1,42,807,64
1170,2,181,451,36
1170,3,191,52,9
1170,4,102,587,49
1170,5,118,554,67
1180,1,64,815,64
1180,2,113,456,36
1180,3,185,53,9
1180,4,65,593,49
1180,5,218,562,67
1190,1,22,823,64
1190,2,69,460,36
1190,3,182,54,9
1190,4,24,599,49
1190,5,253,569,67
1200,1,131,830,64
1200,2,184,465,36
1200,3,189,55,9
1200,4,143,605,49
1200,5,116,571,67
1210,1,121,838,64
1210,2,115,470,36
1210,3,187,47,9
1210,4,106,610,49
1210,5,135,573,67
1220,1,112,846,64
1220,2,54,474,36
1220,3,193,48,9
1220,4,43,616,49
1220,5,146,580,67
1230,1,108,854,64
1230,2,138,479,36
1230,3,186,49,9
1230,4,178,622,49
1230,5,148,587,67
1240,1,89,862,64
1240,2,62,483,36
1240,3,182,50,9
1240,4,112,628,49
1240,5,154,594,67
1250,1,24,870,64
1250,2,172,488,36
1250,3,187,51,9
1250,4,54,633,49
1250,5,240,602,67
1260,1,10,878,64
1260,2,76,492,36
1260,3,180,50,9
1260,4,183,639,49
1260,5,203,602,67
1270,1,6,886,64
1270,2,165,497,36
1270,3,174,51,9
1270,4,109,644,49
1270,5,199,608,67
1280,1,31,894,64
1280,2,61,501,36
1280,3,182,52,9
1280,4,24,650,49
1280,5,248,616,67
1290,1,12,902,64
1290,2,154,506,36
1290,3,169,53,9
1290,4,155,656,49
1290,5,252,623,67
1300,1,193,910,64
1300,2,51,510,36
1300,3,174,50,9
1300,4,119,662,49
1300,5,94,627,67
1310,1,35,918,64
1310,2,186,515,36
1310,3,191,51,9
1310,4,61,667,49
1310,5,129,634,67
1320,1,11,926,64
1320,2,74,519,36
1320,3,196,52,9
1320,4,158,673,49
1320,5,161,641,67
1330,1,159,934,64
1330,2,174,524,36
1330,3,187,53,9
1330,4,57,678,49
1330,5,201,648,67
1340,1,120,941,64
1340,2,87,528,36
1340,3,180,54,9
1340,4,184,684,49
1340,5,251,656,67
1350,1,120,949,64
1350,2,7,533,36
1350,3,190,55,9
1350,4,119,690,49
1350,5,103,663,67
1360,1,115,957,64
1360,2,100,538,36
1360,3,199,56,9
1360,4,16,695,49
1360,5,114,665,67
1370,1,99,965,64
1370,2,16,542,36
1370,3,194,57,9
1370,4,127,701,49
1370,5,172,672,67
1380,1,53,973,64
1380,2,89,546,36
1380,3,204,58,9
1380,4,61,706,49
1380,5,216,679,67
1390,1,8,981,64
1390,2,190,551,36
1390,3,199,59,9
1390,4,22,712,49
1390,5,258,687,67
1400,1,198,989,64
1400,2,104,556,36
1400,3,202,60,9
1400,4,180,718,49
1400,5,86,689,67
1410,1,163,997,64
1410,2,28,560,36
1410,3,202,61,9
1410,4,117,723,49
1410,5,143,696,67
1420,1,721,1001,65
1420,2,148,565,36
1420,3,200,62,9
1420,4,67,729,49
1420,5,166,696,67
1430,1,853,1005,69
1430,2,29,569,36
1430,3,205,63,9
1430,4,197,735,49
1430,5,180,703,67
1440,1,1431,1008,72
1440,2,181,574,36
1440,3,218,57,9
1440,4,136,741,49
1440,5,214,704,67
1450,1,2049,1011,75
1450,2,85,578,36
1450,3,217,58,9
1450,4,38,746,49
1450,5,228,712,67
1460,1,2722,1014,78
1460,2,152,583,36
1460,3,221,59,9
1460,4,168,752,49
1460,5,79,719,67
1470,1,3819,1016,80
1470,2,33,587,36
1470,3,224,60,9
1470,4,98,757,49
1470,5,121,726,67
1480,1,4221,1020,84
1480,2,138,592,36
1480,3,218,61,9
1480,4,6,763,49
1480,5,162,733,67
1490,1,5079,1023,87
1490,2,44,596,36
1490,3,223,62,9
1490,4,151,769,49
1490,5,216,741,67
1500,1,6379,1025,89
1500,2,141,601,36
1500,3,223,63,9
1500,4,81,774,49
1500,5,253,743,67
1510,1,7665,1027,91
1510,2,66,605,36
1510,3,33,64,9
1510,4,197,780,49
1510,5,93,750,67
1520,1,9372,1028,92
1520,2,184,610,36
1520,3,46,65,9
1520,4,144,786,49
1520,5,155,757,67
1530,1,10352,1026,95
1530,2,110,615,36
1530,3,53,67,9
1530,4,59,791,49
1530,5,156,764,67
1540,1,11754,1028,97
1540,2,0,619,36
1540,3,48,67,9
1540,4,193,797,49
1540,5,165,771,67
1550,1,13284,1030,99
1550,2,89,624,36
1550,3,52,69,9
1550,4,151,803,49
1550,5,205,778,67
1560,1,14827,1030,101
1560,2,188,628,36
1560,3,66,70,9
1560,4,125,809,49
1560,5,219,786,67
1570,1,16698,1031,102
1570,2,95,632,36
1570,3,47,71,9
1570,4,59,814,49
1570,5,223,793,67
1580,1,12272,995,106
1580,2,160,637,36
1580,3,57,68,9
1580,4,186,820,49
1580,5,90,793,67
1590,1,13943,1002,108
1590,2,58,641,36
1590,3,48,68,9
1590,4,106,826,49
1590,5,120,800,67
1600,1,16434,1002,108
1600,2,133,646,36
1600,3,48,63,9
1600,4,59,831,49
1600,5,154,800,67
1610,1,18483,1003,109
1610,2,0,650,36
1610,3,40,63,9
1610,4,0,837,49
1610,5,132,807,67
1620,1,20157,1002,111
1620,2,88,654,36
1620,3,43,64,9
1620,4,116,843,49
1620,5,197,814,67
1630,1,22298,1003,112
1630,2,179,659,36
1630,3,32,65,9
1630,4,73,848,49
1630,5,70,815,67
1640,1,23596,1006,115
1640,2,82,664,36
1640,3,220,66,9
1640,4,184,854,49
1640,5,80,822,67
1650,1,25702,1007,116
