Game Started: 2025-07-31_15-29-25
Turn,FactionID,Population,Soldiers,Territory
10,1,390,12,10
10,2,27,14,10
10,3,93,14,11
10,4,131,13,9
10,5,97,14,11
20,1,393,13,10
20,2,54,15,10
20,3,114,16,13
20,4,157,14,9
20,5,99,15,11
30,1,392,14,10
30,2,73,16,10
30,3,160,17,13
30,4,120,16,10
30,5,114,16,11
40,1,204,15,10
40,2,120,17,10
40,3,209,18,13
40,4,163,17,10
40,5,138,17,11
50,1,204,16,10
50,2,126,18,10
50,3,58,20,13
50,4,5,18,10
50,5,156,18,11
60,1,213,17,10
60,2,151,19,10
60,3,99,21,13
60,4,73,20,10
60,5,168,19,11
70,1,217,18,10
70,2,96,21,11
70,3,143,22,13
70,4,123,21,10
70,5,74,21,12
80,1,225,20,10
80,2,145,22,11
80,3,190,23,13
80,4,184,23,12
80,5,141,22,12
90,1,246,21,10
90,2,137,24,12
90,3,23,24,13
90,4,196,25,13
90,5,107,24,13
100,1,257,22,10
100,2,66,27,14
100,3,53,26,13
100,4,86,27,13
100,5,3,25,13
110,1,264,23,10
110,2,191,28,14
110,3,211,27,14
110,4,5,28,13
110,5,89,27,13
120,1,391,24,11
120,2,24,30,15
120,3,91,29,14
120,4,110,30,13
120,5,121,29,14
130,1,350,26,12
130,2,83,33,16
130,3,177,30,14
130,4,21,31,13
130,5,73,31,14
140,1,262,30,16
140,2,155,35,17
140,3,67,32,14
140,4,47,34,14
140,5,121,33,15
150,1,304,32,17
150,2,40,38,18
150,3,145,33,14
150,4,89,36,15
150,5,57,35,15
160,1,263,34,17
160,2,59,40,18
160,3,124,35,15
160,4,174,38,16
160,5,136,37,16
170,1,242,36,17
170,2,82,42,18
170,3,208,36,15
170,4,154,41,17
170,5,38,39,17
180,1,215,37,17
180,2,112,44,18
180,3,192,38,16
180,4,9,43,17
180,5,117,43,19
190,1,396,39,17
190,2,129,46,18
190,3,28,40,17
190,4,70,46,17
190,5,111,46,20
200,1,176,43,19
200,2,108,49,19
200,3,116,42,17
200,4,129,48,17
200,5,106,50,22
210,1,288,46,22
210,2,118,51,19
210,3,121,44,18
210,4,86,51,18
210,5,90,53,22
220,1,237,48,23
220,2,168,54,21
220,3,56,46,20
220,4,145,53,18
220,5,163,58,26
230,1,323,51,23
230,2,87,58,23
230,3,199,48,20
230,4,93,56,19
230,5,39,61,26
240,1,343,55,26
240,2,56,62,25
240,3,140,50,20
240,4,72,59,20
240,5,144,65,26
250,1,218,58,27
250,2,28,66,28
250,3,89,52,20
250,4,75,62,21
250,5,160,69,27
260,1,317,62,28
260,2,161,71,30
260,3,46,53,20
260,4,12,64,21
260,5,27,74,30
270,1,254,65,29
270,2,133,77,34
270,3,117,57,23
270,4,130,67,21
270,5,48,79,32
280,1,272,69,29
280,2,166,82,36
280,3,61,61,26
280,4,41,70,23
280,5,80,84,34
290,1,202,73,30
290,2,75,87,38
290,3,83,65,29
290,4,106,74,24
290,5,125,90,36
300,1,233,75,30
300,2,185,92,38
300,3,141,68,30
300,4,95,77,24
300,5,154,97,41
310,1,284,79,30
310,2,20,98,41
310,3,101,71,30
310,4,192,81,27
310,5,87,102,42
320,1,205,86,36
320,2,165,104,43
320,3,204,74,31
320,4,19,85,28
320,5,84,109,45
330,1,242,90,38
330,2,81,109,44
330,3,123,78,32
330,4,151,90,30
330,5,44,116,47
340,1,213,95,39
340,2,92,116,47
340,3,106,83,35
340,4,189,94,31
340,5,146,124,50
350,1,272,99,39
350,2,91,122,48
350,3,54,86,35
350,4,77,99,32
350,5,125,130,50
360,1,243,104,40
360,2,99,130,52
360,3,181,91,37
360,4,124,104,34
360,5,17,136,51
370,1,259,111,43
370,2,2,139,56
370,3,162,96,39
370,4,105,109,35
370,5,166,144,54
380,1,320,116,44
380,2,5,146,57
380,3,96,100,40
380,4,160,114,37
380,5,122,152,58
390,1,217,122,47
390,2,180,154,59
390,3,131,106,42
390,4,115,119,37
390,5,14,161,61
400,1,364,128,48
400,2,154,162,61
400,3,39,110,42
400,4,143,124,38
400,5,163,169,62
410,1,294,134,50
410,2,51,171,65
410,3,33,116,45
410,4,175,130,40
410,5,194,177,63
420,1,298,143,54
420,2,137,179,67
420,3,186,122,47
420,4,52,135,41
420,5,18,187,68
430,1,140,152,58
430,2,27,188,68
430,3,175,128,49
430,4,122,141,42
430,5,186,197,71
440,1,242,158,60
440,2,77,197,70
440,3,135,134,50
440,4,97,146,43
440,5,139,206,73
450,1,267,167,63
450,2,169,206,72
450,3,78,139,51
450,4,184,152,43
450,5,14,216,73
460,1,370,175,66
460,2,33,216,74
460,3,163,145,51
460,4,194,159,46
460,5,191,225,73
470,1,348,183,69
470,2,188,226,76
470,3,191,151,53
470,4,168,166,48
470,5,176,234,75
480,1,245,193,71
480,2,151,235,78
480,3,123,157,55
480,4,196,172,48
480,5,60,245,77
490,1,289,202,74
490,2,21,246,80
490,3,148,164,56
490,4,9,179,50
490,5,43,255,77
500,1,384,210,75
500,2,55,256,81
500,3,106,169,56
500,4,81,186,52
500,5,60,265,78
510,1,395,220,79
510,2,51,266,82
510,3,121,176,58
510,4,112,193,53
510,5,187,275,78
520,1,222,230,82
520,2,66,276,83
520,3,107,184,61
520,4,92,201,55
520,5,158,284,78
530,1,210,238,83
530,2,87,286,84
530,3,147,185,62
530,4,141,209,56
530,5,138,294,78
540,1,397,248,85
540,2,98,296,85
540,3,118,193,64
540,4,27,217,58
540,5,62,304,78
550,1,228,258,87
550,2,29,308,88
550,3,111,200,64
550,4,25,225,59
550,5,153,313,78
560,1,392,268,88
560,2,16,318,88
560,3,215,208,65
560,4,175,233,60
560,5,72,323,78
570,1,305,279,92
570,2,29,329,90
570,3,29,216,67
570,4,155,241,61
570,5,14,333,78
580,1,270,290,94
580,2,84,339,90
580,3,221,211,67
580,4,132,250,65
580,5,118,342,78
590,1,344,303,100
590,2,19,350,91
590,3,142,218,68
590,4,13,260,67
590,5,41,352,78
600,1,326,315,104
600,2,51,360,91
600,3,162,219,68
600,4,190,269,68
600,5,23,350,78
610,1,395,301,106
610,2,49,371,92
610,3,136,217,67
610,4,198,278,69
610,5,26,360,79
620,1,397,284,107
620,2,34,382,93
620,3,118,220,68
620,4,178,287,70
620,5,2,361,82
630,1,468,276,109
630,2,122,392,93
630,3,50,217,68
630,4,87,297,73
630,5,87,372,84
640,1,573,277,109
640,2,25,404,95
640,3,135,218,68
640,4,101,306,73
640,5,66,383,85
650,1,510,289,109
650,2,119,414,95
650,3,137,226,69
650,4,38,317,76
650,5,69,394,86
660,1,434,291,109
660,2,50,427,98
660,3,202,235,70
660,4,32,327,77
660,5,110,405,87
670,1,595,303,109
670,2,94,439,100
670,3,74,243,71
670,4,54,337,79
670,5,98,417,89
680,1,498,295,109
680,2,126,452,103
680,3,214,238,71
680,4,165,346,79
680,5,68,429,91
690,1,413,306,109
690,2,125,466,107
690,3,137,240,72
690,4,59,357,80
690,5,120,441,93
700,1,588,310,109
700,2,131,480,110
700,3,196,242,73
700,4,102,367,81
700,5,175,454,96
710,1,432,318,110
710,2,149,493,111
710,3,146,250,75
710,4,111,378,83
710,5,65,468,99
720,1,523,314,111
720,2,136,506,112
720,3,180,262,79
720,4,60,389,84
720,5,112,476,102
730,1,464,318,111
730,2,56,519,112
730,3,49,264,81
730,4,76,399,84
730,5,97,489,103
740,1,442,329,111
740,2,72,533,115
740,3,104,274,83
740,4,53,410,85
740,5,195,503,107
750,1,527,293,111
750,2,140,546,116
750,3,60,228,83
750,4,47,421,86
750,5,129,518,110
760,1,531,305,110
760,2,186,561,120
760,3,42,209,84
760,4,41,432,87
760,5,34,531,111
770,1,440,301,111
770,2,106,577,123
770,3,92,216,83
770,4,121,442,87
770,5,152,546,113
780,1,560,307,112
780,2,140,592,126
780,3,168,212,82
780,4,54,453,88
780,5,184,562,117
790,1,509,311,111
790,2,189,607,128
790,3,188,222,83
790,4,30,465,90
790,5,125,577,118
800,1,568,310,113
800,2,80,622,130
800,3,65,231,82
800,4,16,476,91
800,5,102,587,120
810,1,398,322,112
810,2,180,639,133
810,3,61,236,83
810,4,18,487,92
810,5,44,603,124
820,1,518,324,113
820,2,35,657,138
820,3,176,242,82
820,4,32,498,93
820,5,137,621,128
830,1,446,326,113
830,2,53,673,139
830,3,139,246,82
830,4,140,509,94
830,5,13,639,133
840,1,480,336,113
840,2,7,690,141
840,3,29,251,82
840,4,74,522,97
840,5,195,657,135
850,1,482,341,112
850,2,48,707,143
850,3,71,251,83
850,4,78,535,100
850,5,96,674,137
860,1,448,353,112
860,2,91,724,145
860,3,189,260,83
860,4,63,547,101
860,5,89,692,139
870,1,490,352,114
870,2,164,744,150
870,3,179,264,81
870,4,79,561,105
870,5,175,711,142
880,1,559,364,114
880,2,185,763,154
880,3,34,274,81
880,4,25,575,109
880,5,108,728,143
890,1,407,376,114
890,2,190,783,158
890,3,79,283,81
890,4,39,588,110
890,5,168,747,145
900,1,438,383,113
900,2,139,802,161
900,3,219,286,82
900,4,95,603,113
900,5,49,766,149
910,1,588,353,109
910,2,130,822,164
910,3,222,281,83
910,4,29,617,116
910,5,184,736,152
920,1,398,345,108
920,2,9,843,167
920,3,73,290,82
920,4,196,632,118
920,5,45,734,154
930,1,455,354,107
930,2,8,863,169
930,3,146,299,82
930,4,54,648,122
930,5,106,735,155
940,1,459,365,107
940,2,41,883,170
940,3,221,309,82
940,4,54,664,125
940,5,128,754,155
950,1,440,372,108
950,2,32,903,171
950,3,95,311,81
950,4,166,680,127
950,5,186,758,155
960,1,473,375,108
960,2,75,923,172
960,3,156,313,81
960,4,154,696,129
960,5,15,778,155
970,1,414,386,108
970,2,49,943,172
970,3,213,313,81
970,4,122,711,129
970,5,0,797,155
980,1,399,379,109
980,2,101,963,172
980,3,86,317,80
980,4,104,727,131
980,5,148,798,155
990,1,541,390,108
990,2,36,983,172
990,3,119,326,80
990,4,69,743,134
990,5,43,807,156
1000,1,584,401,108
1000,2,969,1001,174
1000,3,158,335,80
1000,4,64,761,139
1000,5,193,826,156
1010,1,441,413,108
1010,2,4317,1009,182
1010,3,214,345,80
1010,4,14,778,140
1010,5,129,838,156
1020,1,545,417,108
1020,2,8115,1014,187
1020,3,59,354,80
1020,4,83,795,142
1020,5,162,857,156
1030,1,577,428,108
1030,2,12202,1017,190
1030,3,68,363,80
1030,4,3,812,142
1030,5,14,877,156
1040,1,469,425,108
1040,2,16306,1022,195
1040,3,155,368,80
1040,4,160,832,147
1040,5,180,884,156
1050,1,499,427,109
1050,2,20505,1026,199
1050,3,143,370,79
1050,4,195,851,150
1050,5,167,904,156
1060,1,474,432,109
1060,2,24990,1028,201
1060,3,168,368,78
1060,4,100,869,152
1060,5,6,917,157
1070,1,586,427,110
1070,2,29404,1030,203
1070,3,212,370,77
1070,4,23,890,158
1070,5,194,931,157
1080,1,530,439,110
1080,2,33802,1034,207
1080,3,202,378,77
1080,4,16,910,161
1080,5,107,950,157
1090,1,467,435,110
1090,2,38480,1036,209
1090,3,162,380,77
1090,4,1,930,164
1090,5,162,969,157
1100,1,459,440,111
1100,2,43281,1037,210
1100,3,93,382,76
1100,4,13,950,166
1100,5,115,988,157
1110,1,469,439,112
1110,2,47966,1039,212
1110,3,58,380,75
1110,4,74,970,168
1110,5,1989,1000,157
1120,1,542,450,112
1120,2,52900,1040,213
1120,3,31,389,75
1120,4,192,990,168
1120,5,5813,1000,157
1130,1,459,462,112
1130,2,57520,1043,216
1130,3,195,397,75
1130,4,2108,1003,172
1130,5,9636,1000,157
1140,1,403,473,112
1140,2,62267,1046,219
1140,3,161,406,75
1140,4,5491,1010,179
1140,5,13509,1000,157
1150,1,282,468,114
1150,2,67291,1047,220
1150,3,137,404,73
1150,4,9547,1011,180
1150,5,17330,1000,157
1160,1,501,472,115
1160,2,72195,1049,222
1160,3,60,411,72
1160,4,13419,1014,183
1160,5,21211,1000,157
1170,1,510,484,115
1170,2,77335,1049,222
1170,3,165,419,72
1170,4,17494,1016,185
1170,5,24996,1000,157
1180,1,474,496,115
1180,2,82390,1050,223
1180,3,110,428,72
1180,4,21488,1021,190
1180,5,28846,1000,157
1190,1,472,508,115
1190,2,87446,1051,224
1190,3,66,437,72
1190,4,25629,1024,193
1190,5,32738,1000,157
1200,1,496,520,115
1200,2,92538,1052,225
1200,3,128,438,72
1200,4,30013,1025,194
1200,5,36559,1000,157
1210,1,510,532,115
1210,2,97561,1053,226
1210,3,48,447,72
1210,4,34494,1026,195
1210,5,39471,1010,167
1220,1,407,543,115
1220,2,102641,1054,227
1220,3,117,455,72
1220,4,39076,1027,196
1220,5,42940,1017,174
1230,1,465,556,115
1230,2,107856,1055,228
1230,3,32,459,72
1230,4,43642,1027,196
1230,5,46957,1020,177
1240,1,415,561,116
1240,2,113083,1055,228
1240,3,89,465,71
1240,4,48248,1027,196
1240,5,50818,1025,182
1250,1,441,574,116
1250,2,118231,1056,229
1250,3,134,473,71
1250,4,52664,1029,198
1250,5,54685,1030,187
1260,1,527,586,116
1260,2,123485,1056,229
1260,3,192,482,71
1260,4,57170,1030,199
1260,5,58887,1034,191
1270,1,575,598,116
1270,2,128789,1056,229
1270,3,221,482,71
1270,4,61787,1030,199
1270,5,62927,1040,197
1280,1,538,604,116
1280,2,134037,1056,229
1280,3,204,482,71
1280,4,66485,1030,199
1280,5,67317,1044,201
1290,1,519,616,116
1290,2,139238,1057,230
1290,3,31,490,71
1290,4,71116,1030,199
1290,5,71946,1047,204
1300,1,504,622,116
1300,2,144567,1057,230
1300,3,109,498,71
1300,4,75735,1030,199
1300,5,76608,1049,206
1310,1,431,624,117
1310,2,149784,1058,231
1310,3,118,496,70
1310,4,80358,1031,200
1310,5,81299,1051,208
1320,1,493,610,117
1320,2,155079,1058,231
1320,3,145,504,70
