Game Started: 2025-07-31_13-49-44
Turn,FactionID,Population,Soldiers,Territory
10,1,166,13,10
10,2,59,13,9
10,3,124,13,9
10,4,86,13,9
10,5,128,13,9
20,1,155,14,10
20,2,33,14,9
20,3,151,14,9
20,4,191,14,10
20,5,92,16,12
30,1,278,15,11
30,2,209,14,9
30,3,159,15,9
30,4,180,15,10
30,5,190,17,12
40,1,289,16,11
40,2,82,16,10
40,3,97,17,10
40,4,173,16,10
40,5,189,19,13
50,1,118,18,11
50,2,206,17,11
50,3,140,18,10
50,4,63,18,11
50,5,205,21,14
60,1,149,19,11
60,2,52,19,11
60,3,176,19,10
60,4,164,19,12
60,5,205,24,16
70,1,182,20,11
70,2,76,20,11
70,3,149,21,11
70,4,171,20,12
70,5,150,27,17
80,1,203,21,11
80,2,112,21,11
80,3,61,23,13
80,4,99,22,13
80,5,171,29,17
90,1,286,23,13
90,2,80,23,12
90,3,179,26,15
90,4,140,23,13
90,5,57,32,19
100,1,178,25,13
100,2,169,24,12
100,3,254,28,16
100,4,72,25,14
100,5,82,36,20
110,1,81,28,15
110,2,49,26,12
110,3,94,31,18
110,4,137,26,14
110,5,188,38,20
120,1,50,31,17
120,2,111,27,12
120,3,172,35,20
120,4,145,28,15
120,5,123,41,20
130,1,250,32,17
130,2,112,29,13
130,3,258,37,20
130,4,49,30,15
130,5,183,44,21
140,1,244,34,17
140,2,115,31,14
140,3,176,41,22
140,4,38,32,16
140,5,74,47,22
150,1,246,37,19
150,2,163,33,15
150,3,250,45,25
150,4,82,34,17
150,5,92,52,24
160,1,156,42,23
160,2,115,35,15
160,3,130,50,27
160,4,65,37,19
160,5,34,56,26
170,1,161,46,25
170,2,97,38,17
170,3,199,55,31
170,4,95,40,21
170,5,173,61,28
180,1,283,50,28
180,2,99,41,19
180,3,217,59,32
180,4,82,44,24
180,5,86,65,29
190,1,260,54,29
190,2,27,43,20
190,3,178,64,34
190,4,187,47,26
190,5,94,69,29
200,1,172,59,31
200,2,148,46,21
200,3,140,70,37
200,4,128,50,26
200,5,119,75,31
210,1,120,63,33
210,2,81,49,22
210,3,112,75,40
210,4,205,54,29
210,5,166,80,33
220,1,112,68,35
220,2,44,51,23
220,3,158,82,43
220,4,26,58,31
220,5,109,85,34
230,1,203,73,36
230,2,119,55,25
230,3,184,89,47
230,4,161,62,32
230,5,35,90,36
240,1,184,79,39
240,2,30,57,25
240,3,133,95,49
240,4,170,66,34
240,5,69,95,37
250,1,139,85,41
250,2,142,60,25
250,3,73,102,51
250,4,180,71,37
250,5,70,100,37
260,1,228,91,44
260,2,44,62,25
260,3,130,108,52
260,4,167,76,39
260,5,168,107,40
270,1,147,97,47
270,2,157,66,27
270,3,169,117,56
270,4,92,80,40
270,5,179,114,43
280,1,188,103,49
280,2,180,70,29
280,3,133,123,57
280,4,74,85,41
280,5,200,122,47
290,1,228,112,54
290,2,194,73,29
290,3,251,131,59
290,4,12,90,42
290,5,137,130,50
300,1,239,119,56
300,2,103,78,32
300,3,95,139,62
300,4,189,95,43
300,5,214,136,50
310,1,205,126,59
310,2,143,81,32
310,3,63,148,65
310,4,70,100,45
310,5,187,145,54
320,1,196,134,61
320,2,127,85,33
320,3,111,156,67
320,4,102,107,48
320,5,26,153,56
330,1,281,143,64
330,2,49,91,38
330,3,88,166,71
330,4,190,112,49
330,5,172,161,57
340,1,113,151,66
340,2,151,97,40
340,3,61,174,71
340,4,22,117,49
340,5,185,169,58
350,1,107,160,69
350,2,151,103,42
350,3,187,182,72
350,4,199,125,54
350,5,171,177,59
360,1,176,168,70
360,2,52,108,43
360,3,207,194,79
360,4,176,133,58
360,5,81,186,62
370,1,146,177,72
370,2,122,115,45
370,3,240,207,84
370,4,59,141,62
370,5,36,196,65
380,1,287,187,75
380,2,26,121,47
380,3,220,216,84
380,4,170,149,64
380,5,205,206,67
390,1,122,196,77
390,2,186,127,48
390,3,74,229,88
390,4,118,157,66
390,5,33,216,69
400,1,127,205,78
400,2,188,134,51
400,3,180,241,91
400,4,36,164,67
400,5,182,227,71
410,1,262,214,80
410,2,196,140,52
410,3,152,253,93
410,4,163,172,68
410,5,78,237,72
420,1,240,223,80
420,2,165,147,54
420,3,88,267,97
420,4,170,181,71
420,5,94,247,73
430,1,124,234,83
430,2,160,154,56
430,3,183,268,98
430,4,200,189,72
430,5,99,257,73
440,1,96,239,85
440,2,29,162,60
440,3,228,278,102
440,4,61,199,77
440,5,46,269,76
450,1,97,250,88
450,2,71,169,61
450,3,204,293,107
450,4,138,208,79
450,5,92,279,76
460,1,105,261,90
460,2,130,177,64
460,3,210,292,113
460,4,156,217,80
460,5,28,290,77
470,1,177,257,94
470,2,132,185,65
470,3,258,294,114
470,4,160,226,81
470,5,33,300,78
480,1,148,263,98
480,2,13,194,67
480,3,137,283,118
480,4,15,237,84
480,5,24,313,81
490,1,238,274,99
490,2,93,202,68
490,3,189,298,121
490,4,42,247,86
490,5,45,325,83
500,1,225,287,102
500,2,141,211,71
500,3,253,307,123
500,4,201,257,87
500,5,150,336,84
510,1,287,299,103
510,2,154,220,73
510,3,155,322,125
510,4,97,268,90
510,5,131,349,87
520,1,314,313,108
520,2,46,230,75
520,3,223,339,128
520,4,38,278,90
520,5,26,363,91
530,1,228,326,109
530,2,43,239,76
530,3,143,356,133
530,4,110,289,93
530,5,223,374,91
540,1,353,327,108
540,2,69,250,81
540,3,305,356,136
540,4,31,301,95
540,5,48,389,96
550,1,319,340,110
550,2,18,261,84
550,3,226,374,139
550,4,39,312,96
550,5,204,405,101
560,1,270,353,111
560,2,38,271,85
560,3,253,393,145
560,4,38,323,97
560,5,176,420,103
570,1,191,365,112
570,2,19,282,87
570,3,253,401,146
570,4,39,335,99
570,5,118,436,107
580,1,225,380,115
580,2,26,292,87
580,3,283,421,152
580,4,12,347,101
580,5,143,453,112
590,1,346,393,120
590,2,79,302,88
590,3,291,435,154
590,4,86,359,103
590,5,48,470,117
600,1,353,409,125
600,2,77,312,88
600,3,166,455,159
600,4,126,372,106
600,5,189,488,121
610,1,195,421,126
610,2,78,322,88
610,3,232,470,164
610,4,84,387,111
610,5,84,505,124
620,1,242,430,128
620,2,18,334,91
620,3,188,484,166
620,4,199,401,114
620,5,34,523,127
630,1,274,445,128
630,2,80,344,91
630,3,135,505,168
630,4,128,415,116
630,5,218,540,128
640,1,279,451,130
640,2,14,355,92
640,3,170,521,174
640,4,126,428,116
640,5,117,558,131
650,1,303,461,131
650,2,51,367,95
650,3,211,533,179
650,4,88,444,121
650,5,96,577,134
660,1,286,471,133
660,2,107,378,96
660,3,224,551,184
660,4,136,459,124
660,5,183,596,137
670,1,253,468,135
670,2,168,389,97
670,3,267,567,188
670,4,96,475,128
670,5,63,615,138
680,1,270,484,137
680,2,73,401,100
680,3,184,576,192
680,4,155,489,128
680,5,47,635,142
690,1,304,488,141
690,2,89,410,103
690,3,285,583,196
690,4,198,504,130
690,5,201,657,148
700,1,263,489,140
700,2,85,413,107
700,3,224,591,201
700,4,179,520,133
700,5,55,677,150
710,1,370,493,141
710,2,121,426,109
710,3,264,611,207
710,4,159,536,135
710,5,81,697,151
720,1,219,511,144
720,2,200,431,113
720,3,292,619,208
720,4,131,553,138
720,5,77,717,152
730,1,184,526,143
730,2,176,446,117
730,3,316,638,210
730,4,81,569,141
730,5,88,737,153
740,1,325,534,147
740,2,143,462,122
740,3,289,653,211
740,4,176,586,143
740,5,121,760,159
750,1,316,550,148
750,2,155,473,125
750,3,292,675,218
750,4,126,602,143
750,5,86,782,161
760,1,305,568,150
760,2,48,487,126
760,3,241,701,219
760,4,186,619,146
760,5,218,802,162
770,1,228,587,153
770,2,186,503,129
770,3,306,720,222
770,4,173,636,147
770,5,45,825,165
780,1,243,581,156
780,2,164,518,131
780,3,244,735,228
780,4,54,653,149
780,5,101,846,166
790,1,265,590,157
790,2,153,533,132
790,3,260,749,232
790,4,188,661,151
790,5,45,868,169
800,1,323,609,160
800,2,172,539,132
800,3,358,769,233
800,4,34,680,155
800,5,58,890,171
810,1,223,631,166
810,2,131,554,133
810,3,238,799,239
810,4,38,701,160
810,5,137,914,174
820,1,205,643,167
820,2,74,557,134
820,3,298,814,242
820,4,50,714,162
820,5,39,938,177
830,1,264,659,171
830,2,56,550,135
830,3,205,838,244
830,4,193,721,164
830,5,213,961,180
840,1,307,679,172
840,2,202,561,137
