Game Started: 2025-07-31_13-36-13
Turn,FactionID,Population,Soldiers,Territory
10,1,149,7,19
10,2,130,7,19
10,3,129,7,19
10,4,96,7,19
10,5,88,7,19
20,1,28,10,39
20,2,140,10,39
20,3,28,10,39
20,4,1,10,39
20,5,108,10,39
30,1,196,16,59
30,2,147,15,59
30,3,154,16,59
30,4,194,16,59
30,5,0,15,59
40,1,170,23,79
40,2,199,22,79
40,3,108,23,79
40,4,22,24,79
40,5,114,22,79
50,1,21,33,99
50,2,104,31,99
50,3,177,33,99
50,4,130,34,99
50,5,72,32,99
60,1,42,45,110
60,2,34,42,118
60,3,173,46,121
60,4,26,47,129
60,5,99,44,119
70,1,148,59,120
70,2,156,56,143
70,3,98,62,164
70,4,138,64,166
70,5,90,58,149
80,1,94,73,130
80,2,91,72,186
80,3,41,86,261
80,4,194,88,247
80,5,183,78,205
90,1,7,89,133
90,2,157,95,291
90,3,1074,118,371
90,4,276,122,361
90,5,208,105,286
100,1,707,102,133
100,2,375,133,449
100,3,1331,163,430
100,4,162,169,460
100,5,280,143,385
110,1,708,117,133
110,2,300,187,506
110,3,1468,214,440
110,4,293,226,561
110,5,303,195,509
120,1,551,132,133
120,2,408,242,513
120,3,1570,266,444
120,4,383,297,688
120,5,528,260,623
130,1,698,148,133
130,2,315,299,513
130,3,1467,319,444
130,4,253,380,733
130,5,413,334,645
