Game Started: 2025-07-31_13-36-23
Turn,FactionID,Population,Soldiers,Territory
10,1,117,7,19
10,2,65,7,19
10,3,169,7,19
10,4,160,7,19
10,5,119,7,19
20,1,143,10,39
20,2,141,10,39
20,3,73,10,39
20,4,73,10,39
20,5,193,10,39
30,1,83,14,54
30,2,26,15,53
30,3,2,16,56
30,4,65,16,59
30,5,128,15,59
40,1,82,20,64
40,2,192,22,63
40,3,180,23,66
40,4,193,24,79
40,5,181,24,79
50,1,89,27,74
50,2,194,30,73
50,3,190,31,77
50,4,84,33,99
50,5,75,34,99
60,1,127,35,84
60,2,103,38,83
60,3,190,40,97
60,4,91,45,119
60,5,65,46,119
70,1,154,44,94
70,2,38,48,93
70,3,7,52,117
70,4,58,58,139
70,5,191,62,143
80,1,3,54,104
80,2,4,58,103
80,3,142,67,149
80,4,175,74,159
80,5,116,82,206
90,1,34,65,114
90,2,32,70,113
90,3,115,88,189
90,4,15,92,181
90,5,1140,108,343
100,1,103,78,124
100,2,63,83,123
100,3,155,112,228
100,4,199,111,186
100,5,1309,152,458
110,1,199,91,134
110,2,149,98,133
110,3,330,141,268
110,4,346,130,186
110,5,1671,208,544
120,1,268,105,144
120,2,541,111,135
120,3,318,176,308
120,4,294,150,186
120,5,1832,273,601
130,1,210,120,154
130,2,486,125,135
130,3,241,214,358
130,4,259,170,186
130,5,1953,344,610
140,1,183,137,168
140,2,464,140,135
140,3,396,259,426
140,4,234,190,186
140,5,1932,415,612
150,1,265,155,178
150,2,424,155,135
150,3,347,312,486
150,4,203,210,186
150,5,1906,485,612
160,1,228,174,179
160,2,406,170,135
160,3,380,373,561
160,4,345,230,186
160,5,2006,557,614
170,1,196,193,179
170,2,414,185,135
170,3,486,443,635
170,4,300,249,186
170,5,1993,628,614
180,1,157,212,179
180,2,578,200,135
180,3,476,520,701
180,4,298,269,186
180,5,2022,699,614
