Game Started: 2025-07-31_14-23-23
Turn,FactionID,Population,Soldiers,Territory
10,1,45,13,10
10,2,202,13,9
10,3,151,13,10
10,4,260,12,9
10,5,159,13,10
20,1,104,15,10
20,2,208,15,10
20,3,144,15,12
20,4,63,15,11
20,5,159,14,10
30,1,79,17,11
30,2,152,17,10
30,3,255,16,13
30,4,101,17,13
30,5,284,15,11
40,1,149,18,11
40,2,79,19,12
40,3,78,17,13
40,4,149,18,13
40,5,108,16,11
50,1,46,19,11
50,2,168,22,13
50,3,120,19,13
50,4,112,20,14
50,5,153,18,11
60,1,150,22,13
60,2,152,24,13
60,3,170,20,13
60,4,200,21,14
60,5,207,20,13
70,1,167,24,14
70,2,139,27,15
70,3,217,21,13
70,4,101,23,14
70,5,195,22,14
80,1,154,27,16
80,2,241,29,16
80,3,73,22,13
80,4,108,25,15
80,5,283,23,14
90,1,168,30,18
90,2,187,33,19
90,3,117,24,13
90,4,145,27,16
90,5,77,26,15
100,1,90,33,19
100,2,180,36,20
100,3,155,25,13
100,4,192,29,17
100,5,290,27,16
110,1,145,36,21
110,2,62,38,20
110,3,134,28,16
110,4,254,31,18
110,5,153,31,19
120,1,208,38,21
120,2,96,43,23
120,3,69,29,16
120,4,124,34,19
120,5,249,34,22
130,1,221,42,24
130,2,188,47,26
130,3,216,32,18
130,4,243,36,20
130,5,299,36,22
140,1,71,45,25
140,2,117,51,27
140,3,132,35,19
140,4,196,39,21
140,5,172,40,24
150,1,62,48,25
150,2,154,55,29
150,3,213,38,21
150,4,113,42,23
150,5,257,42,24
160,1,62,51,25
160,2,164,58,29
160,3,113,41,21
160,4,190,47,26
160,5,264,46,27
170,1,78,56,27
170,2,167,61,29
170,3,243,44,23
170,4,234,50,26
170,5,216,50,29
180,1,98,59,27
180,2,153,66,32
180,3,143,48,24
180,4,211,55,29
180,5,114,53,30
190,1,73,64,30
190,2,146,70,33
190,3,69,51,25
190,4,227,60,31
190,5,171,59,34
200,1,117,69,33
200,2,169,74,34
200,3,125,55,27
200,4,144,66,34
200,5,290,63,36
210,1,77,73,35
210,2,95,77,34
210,3,195,59,27
210,4,148,71,37
210,5,135,67,37
220,1,64,77,35
220,2,229,82,36
220,3,236,62,27
220,4,157,77,38
220,5,298,72,39
230,1,81,81,35
230,2,210,87,38
230,3,225,67,30
230,4,252,83,41
230,5,267,76,39
240,1,168,86,36
240,2,109,91,39
240,3,135,72,32
240,4,229,90,44
240,5,295,81,41
250,1,124,92,39
250,2,157,97,41
250,3,215,76,33
250,4,247,97,47
250,5,164,86,43
260,1,89,98,43
260,2,172,104,46
260,3,75,80,34
260,4,181,104,49
260,5,133,95,49
270,1,85,103,43
270,2,62,109,47
270,3,185,86,37
270,4,136,111,52
270,5,125,101,52
280,1,183,109,44
280,2,149,117,51
280,3,77,90,38
280,4,209,120,55
280,5,233,108,54
290,1,191,115,46
290,2,118,123,53
290,3,144,96,40
290,4,112,127,56
290,5,225,116,58
300,1,41,121,48
300,2,175,130,54
300,3,217,101,42
300,4,221,136,59
300,5,298,123,60
310,1,47,128,51
310,2,172,135,54
310,3,98,105,42
310,4,228,145,62
310,5,165,130,62
320,1,107,135,54
320,2,234,143,56
320,3,142,110,43
320,4,242,155,66
320,5,109,140,67
330,1,142,143,57
330,2,201,151,59
330,3,136,116,45
330,4,113,164,68
330,5,255,148,69
340,1,194,150,59
340,2,113,158,61
340,3,90,122,47
340,4,201,174,72
340,5,220,158,73
350,1,106,157,61
350,2,226,168,66
350,3,151,128,49
350,4,240,184,74
350,5,160,167,74
360,1,86,165,63
360,2,168,177,70
360,3,193,135,50
360,4,104,196,77
360,5,267,176,76
370,1,182,166,64
370,2,170,187,72
370,3,97,142,53
370,4,93,202,78
370,5,129,188,81
380,1,189,174,66
380,2,70,196,74
380,3,205,150,55
380,4,253,211,78
380,5,107,197,81
390,1,204,182,68
390,2,236,206,77
390,3,61,157,56
390,4,243,223,82
390,5,222,207,84
400,1,143,180,69
400,2,188,215,79
400,3,230,165,58
400,4,74,230,85
400,5,298,217,86
410,1,90,182,69
410,2,120,226,82
410,3,237,174,61
410,4,263,234,87
410,5,126,229,89
420,1,221,184,71
420,2,235,237,86
420,3,147,182,63
420,4,195,242,89
420,5,142,243,96
430,1,102,186,74
430,2,135,249,89
430,3,153,190,64
430,4,191,247,89
430,5,228,257,102
440,1,192,195,76
440,2,96,262,94
440,3,173,198,65
440,4,116,260,91
440,5,114,270,104
450,1,74,205,78
450,2,177,274,97
450,3,68,208,68
450,4,107,275,97
450,5,204,284,109
460,1,64,211,80
460,2,92,287,99
460,3,62,218,71
460,4,148,286,98
460,5,341,297,112
470,1,198,221,81
470,2,122,300,102
470,3,257,228,73
470,4,130,301,102
470,5,191,313,117
480,1,196,227,82
480,2,140,314,106
480,3,211,238,76
480,4,186,308,106
480,5,250,327,121
490,1,156,232,85
490,2,177,328,109
490,3,140,249,79
490,4,187,322,108
490,5,348,343,124
500,1,240,234,87
500,2,151,342,113
500,3,210,259,81
500,4,167,331,110
500,5,288,360,129
510,1,146,237,86
510,2,213,357,115
510,3,152,270,83
510,4,277,343,115
510,5,359,377,134
520,1,29,236,86
