Game Started: 2025-07-31_13-29-00
Turn,FactionID,Population,Soldiers,Territory
10,1,110,7,18
10,2,168,7,18
10,3,106,7,18
10,4,153,7,18
10,5,96,7,18
20,1,129,10,38
20,2,18,10,38
20,3,119,10,38
20,4,108,11,38
20,5,162,10,38
30,1,172,16,58
30,2,125,16,58
30,3,83,14,58
30,4,13,17,58
30,5,15,15,52
40,1,70,24,78
40,2,60,23,78
40,3,41,21,72
40,4,167,25,78
40,5,88,21,65
50,1,162,34,92
50,2,166,33,114
50,3,39,29,85
50,4,40,35,107
50,5,179,29,78
60,1,30,44,114
60,2,194,43,155
60,3,190,38,95
60,4,159,45,119
60,5,64,39,86
70,1,183,54,144
70,2,132,53,200
70,3,109,48,105
70,4,120,55,129
70,5,175,49,110
80,1,69,64,174
80,2,70,63,236
80,3,62,58,118
80,4,71,65,141
80,5,156,59,139
90,1,130,74,199
90,2,21,73,258
90,3,184,68,131
90,4,87,75,161
90,5,136,69,144
100,1,89,84,219
100,2,32,83,278
100,3,155,78,149
100,4,99,85,181
100,5,199,79,144
110,1,138,94,238
110,2,44,93,290
110,3,132,88,157
110,4,19,95,191
110,5,61,89,144
120,1,456,104,248
120,2,245,103,300
120,3,196,98,157
120,4,283,105,191
120,5,134,99,144
130,1,557,114,267
130,2,298,113,320
130,3,45,108,157
130,4,439,115,193
130,5,15,109,144
140,1,585,124,272
140,2,374,123,329
140,3,81,118,161
140,4,282,125,193
140,5,56,119,144
150,1,653,134,272
150,2,336,133,333
150,3,74,128,161
150,4,337,135,193
150,5,150,129,144
160,1,669,144,283
160,2,193,143,343
160,3,72,138,162
160,4,399,145,195
160,5,78,139,144
170,1,583,154,299
170,2,304,153,343
170,3,228,148,171
170,4,467,155,196
170,5,131,149,144
180,1,510,164,300
180,2,421,163,355
180,3,72,158,171
180,4,391,165,196
180,5,34,159,144
190,1,665,174,301
190,2,271,173,365
190,3,196,168,180
190,4,296,175,196
190,5,141,169,144
200,1,597,184,303
200,2,349,183,367
200,3,196,178,187
200,4,463,185,200
200,5,149,179,150
210,1,682,194,307
210,2,288,193,367
210,3,216,188,187
210,4,444,195,212
210,5,95,189,159
220,1,599,204,315
220,2,339,203,367
220,3,114,198,187
220,4,387,205,214
220,5,18,199,161
230,1,654,214,315
230,2,334,213,372
230,3,186,208,187
230,4,288,215,214
230,5,204,209,161
240,1,529,224,315
240,2,274,223,372
240,3,124,218,187
240,4,357,225,214
240,5,57,219,161
250,1,528,234,315
250,2,277,233,374
250,3,103,228,187
250,4,312,235,214
250,5,128,229,161
260,1,557,244,315
260,2,266,243,381
260,3,104,238,191
260,4,463,245,217
260,5,59,239,162
270,1,554,254,315
270,2,351,253,382
270,3,205,248,193
270,4,328,255,217
270,5,146,249,168
280,1,683,264,318
280,2,259,263,382
280,3,254,258,204
280,4,329,265,217
280,5,170,259,168
290,1,637,274,318
290,2,265,273,382
290,3,187,268,224
290,4,456,275,220
290,5,193,269,168
300,1,653,284,318
300,2,262,283,388
300,3,138,278,244
300,4,464,285,222
300,5,79,279,174
310,1,553,294,328
310,2,305,293,403
310,3,130,288,261
310,4,349,295,222
310,5,98,289,182
320,1,619,304,337
320,2,399,303,424
320,3,66,298,271
320,4,462,305,222
320,5,194,299,182
330,1,627,314,343
330,2,313,313,455
330,3,138,308,281
330,4,434,315,222
330,5,106,309,182
340,1,525,324,343
340,2,414,323,484
340,3,92,318,295
340,4,339,325,222
340,5,26,319,182
350,1,695,334,343
350,2,383,333,496
350,3,103,328,320
350,4,325,335,222
350,5,117,329,182
360,1,666,344,343
360,2,353,343,498
360,3,153,338,342
360,4,412,345,222
360,5,57,339,182
370,1,691,354,343
370,2,350,353,498
370,3,146,348,361
370,4,454,355,222
370,5,38,349,185
380,1,590,364,343
380,2,341,363,498
380,3,251,358,378
380,4,420,365,223
380,5,119,359,189
390,1,534,374,343
390,2,460,373,498
390,3,171,368,388
390,4,352,375,223
390,5,44,369,189
400,1,686,384,343
400,2,312,383,500
400,3,153,378,398
400,4,439,385,223
400,5,137,379,189
410,1,612,394,343
410,2,319,393,500
410,3,260,388,401
410,4,429,395,223
410,5,58,389,189
420,1,540,404,343
420,2,333,403,500
420,3,267,398,401
420,4,306,405,223
420,5,169,399,191
430,1,580,414,343
430,2,410,413,500
430,3,241,408,401
430,4,366,415,223
430,5,111,409,191
440,1,720,424,348
440,2,369,423,500
440,3,126,418,402
440,4,344,425,223
440,5,15,419,192
450,1,606,434,348
450,2,299,433,500
450,3,265,428,402
450,4,418,435,223
450,5,115,429,193
460,1,670,444,348
460,2,345,443,500
460,3,111,438,402
460,4,378,445,223
460,5,36,439,193
470,1,596,454,348
470,2,360,453,500
470,3,268,448,402
470,4,457,455,223
470,5,177,449,194
480,1,690,464,348
480,2,333,463,500
480,3,249,458,402
480,4,428,465,223
480,5,133,459,194
490,1,564,474,348
490,2,408,473,500
490,3,297,468,402
490,4,423,475,223
490,5,52,469,194
500,1,515,484,348
500,2,415,483,500
500,3,156,478,402
500,4,375,485,223
500,5,169,479,194
510,1,636,494,348
510,2,357,493,500
510,3,126,488,405
510,4,460,495,223
510,5,170,489,194
520,1,540,504,348
520,2,318,503,500
520,3,205,498,406
520,4,387,505,223
520,5,149,499,194
530,1,713,514,348
530,2,353,513,506
530,3,217,508,406
530,4,279,515,223
530,5,158,509,194
540,1,521,524,348
540,2,453,523,506
540,3,219,518,409
540,4,365,525,223
540,5,153,519,194
550,1,688,534,354
550,2,488,533,507
550,3,179,528,409
550,4,333,535,223
550,5,53,529,194
560,1,708,544,364
560,2,350,543,508
560,3,256,538,409
560,4,476,545,224
560,5,196,539,194
570,1,767,554,364
570,2,481,553,508
570,3,265,548,414
570,4,383,555,224
570,5,110,549,194
580,1,678,564,364
580,2,455,563,508
580,3,287,558,415
580,4,476,565,224
580,5,43,559,194
590,1,661,574,364
590,2,449,573,508
590,3,164,568,415
590,4,459,575,224
590,5,176,569,194
600,1,691,584,364
600,2,398,583,508
600,3,152,578,415
600,4,406,585,224
600,5,160,579,194
610,1,751,594,364
610,2,330,593,508
610,3,200,588,418
610,4,384,595,224
610,5,176,589,194
620,1,753,604,364
620,2,392,603,508
620,3,301,598,424
620,4,381,605,224
620,5,188,599,194
630,1,759,614,364
630,2,478,613,508
630,3,224,608,429
630,4,373,615,224
630,5,95,609,194
640,1,708,624,364
640,2,418,623,508
640,3,235,618,429
640,4,327,625,224
640,5,43,619,194
650,1,640,634,364
650,2,460,633,508
650,3,301,628,429
650,4,471,635,224
650,5,145,629,194
660,1,815,644,364
660,2,457,643,508
660,3,154,638,438
660,4,402,645,224
660,5,100,639,194
670,1,659,654,364
670,2,392,653,508
670,3,126,648,448
670,4,307,655,224
