Game Started: 2025-07-31_14-47-14
Turn,FactionID,Population,Soldiers,Territory
10,1,198,13,10
10,2,91,13,9
10,3,134,13,10
10,4,16,13,10
10,5,94,13,9
20,1,199,14,10
20,2,26,15,10
20,3,66,14,10
20,4,157,15,11
20,5,12,14,10
30,1,27,17,12
30,2,52,16,10
30,3,180,14,10
30,4,117,17,12
30,5,18,15,10
40,1,168,18,13
40,2,83,17,10
40,3,101,15,10
40,4,189,18,12
40,5,54,17,10
50,1,38,20,13
50,2,31,19,11
50,3,36,16,10
50,4,163,20,13
50,5,190,18,11
60,1,104,21,13
60,2,106,21,13
60,3,167,16,10
60,4,154,22,14
60,5,129,20,12
70,1,180,22,13
70,2,148,23,14
70,3,102,17,10
70,4,157,24,15
70,5,163,21,12
80,1,35,24,13
80,2,10,25,15
80,3,42,18,10
80,4,76,26,15
80,5,136,23,13
90,1,89,25,13
90,2,92,28,16
90,3,181,18,10
90,4,154,29,18
90,5,114,25,14
100,1,165,26,13
100,2,174,31,18
100,3,111,19,10
100,4,51,32,19
100,5,127,28,17
110,1,14,27,13
110,2,33,33,18
110,3,48,20,10
110,4,73,34,19
110,5,41,30,17
120,1,126,29,14
120,2,85,36,18
120,3,179,20,10
120,4,52,36,19
120,5,174,31,17
130,1,139,31,16
130,2,164,38,18
130,3,104,21,10
130,4,85,38,19
130,5,104,33,17
140,1,111,33,17
140,2,186,41,20
140,3,40,22,10
140,4,183,40,20
140,5,12,34,17
150,1,44,35,17
150,2,165,44,21
150,3,168,22,10
150,4,76,43,21
150,5,141,36,17
160,1,74,37,18
160,2,66,47,21
160,3,109,23,10
160,4,0,45,22
160,5,188,38,19
170,1,128,39,19
170,2,12,49,21
170,3,43,24,10
170,4,197,48,24
170,5,46,41,21
180,1,127,41,19
180,2,107,52,21
180,3,22,25,11
180,4,2,51,25
180,5,112,43,22
190,1,117,43,19
190,2,33,54,21
190,3,181,25,11
190,4,149,54,25
190,5,182,45,23
200,1,183,45,20
200,2,180,57,21
200,3,148,26,11
200,4,108,57,25
200,5,16,47,23
210,1,186,47,20
210,2,117,60,21
210,3,111,27,11
210,4,64,60,25
210,5,12,49,23
220,1,1,49,20
220,2,42,62,21
220,3,52,28,11
220,4,36,62,25
220,5,28,51,23
230,1,187,51,20
230,2,175,65,21
230,3,5,28,11
230,4,162,65,25
230,5,47,53,23
240,1,18,53,20
240,2,80,68,21
240,3,158,29,11
240,4,86,68,25
240,5,63,56,23
250,1,36,55,20
250,2,2,70,21
250,3,106,30,11
250,4,54,70,25
250,5,80,58,23
260,1,53,58,20
260,2,95,73,21
260,3,63,31,11
260,4,22,73,25
260,5,84,60,23
270,1,56,60,20
270,2,25,75,21
270,3,18,32,11
270,4,181,76,25
270,5,105,62,23
280,1,38,62,20
280,2,152,78,21
280,3,170,32,11
280,4,144,79,25
280,5,124,64,23
290,1,67,64,20
290,2,88,81,21
290,3,117,33,11
290,4,83,82,25
290,5,141,66,23
300,1,78,66,20
300,2,182,83,21
300,3,81,34,11
300,4,46,84,25
300,5,170,68,23
310,1,70,68,20
310,2,90,86,21
310,3,30,35,11
310,4,184,87,25
310,5,193,70,23
320,1,78,70,20
320,2,13,88,21
320,3,175,35,11
320,4,182,90,25
320,5,188,72,23
330,1,75,72,20
330,2,105,91,21
330,3,117,36,11
330,4,130,93,25
330,5,190,74,23
340,1,70,74,20
340,2,20,93,21
340,3,70,37,11
340,4,84,96,25
340,5,15,76,23
350,1,82,76,20
350,2,128,96,21
350,3,19,38,11
350,4,33,98,25
350,5,28,78,23
360,1,79,78,20
360,2,53,98,21
360,3,172,38,11
360,4,167,101,25
360,5,54,81,23
370,1,62,80,20
370,2,179,101,21
370,3,133,39,11
370,4,132,104,25
370,5,64,83,23
380,1,80,82,20
380,2,69,104,21
380,3,72,40,11
380,4,88,107,25
380,5,88,85,23
390,1,91,84,20
390,2,181,106,21
390,3,25,41,11
390,4,29,109,25
390,5,115,87,23
400,1,82,86,20
400,2,102,109,21
400,3,177,41,11
400,4,188,112,25
400,5,128,89,23
410,1,63,88,20
410,2,24,111,21
410,3,128,42,11
410,4,129,115,25
410,5,154,91,23
420,1,77,90,20
420,2,169,114,21
420,3,82,43,11
