Game Started: 2025-07-31_14-19-49
Turn,FactionID,Population,Soldiers,Territory
10,1,35,14,10
10,2,74,14,11
10,3,112,13,9
10,4,117,13,9
10,5,268,12,9
20,1,106,15,10
20,2,292,14,11
20,3,25,15,10
20,4,124,14,9
20,5,231,13,9
30,1,182,16,10
30,2,294,15,11
30,3,58,16,10
30,4,42,16,10
30,5,197,14,9
40,1,41,18,10
40,2,200,17,12
40,3,96,17,10
40,4,94,17,10
40,5,174,16,11
50,1,120,19,10
50,2,334,18,13
50,3,126,18,10
50,4,58,19,11
50,5,171,17,11
60,1,6,20,10
60,2,351,19,13
60,3,77,20,11
60,4,112,20,11
60,5,268,18,12
70,1,104,23,12
70,2,385,20,13
70,3,60,22,12
70,4,173,21,11
70,5,208,20,13
80,1,171,26,15
80,2,325,22,14
80,3,159,24,14
80,4,95,25,15
80,5,265,22,15
90,1,186,28,15
90,2,196,25,16
90,3,171,26,15
90,4,155,27,16
90,5,132,24,15
100,1,154,30,15
100,2,291,26,16
100,3,112,28,15
100,4,16,29,17
100,5,208,25,15
110,1,36,32,16
110,2,311,28,17
110,3,55,30,15
110,4,61,32,18
110,5,181,27,16
120,1,61,36,18
120,2,321,30,18
120,3,110,32,16
120,4,47,33,18
120,5,81,28,16
130,1,113,38,18
130,2,257,32,18
130,3,106,34,16
130,4,145,36,19
130,5,198,31,18
140,1,40,40,19
140,2,382,33,18
140,3,87,37,18
140,4,40,38,20
140,5,237,33,19
150,1,139,43,19
150,2,342,36,20
150,3,7,39,19
150,4,84,41,20
150,5,187,35,19
160,1,131,46,20
160,2,292,38,20
160,3,195,42,20
160,4,135,43,20
160,5,138,37,19
170,1,198,49,22
170,2,367,40,21
170,3,4,45,21
170,4,44,46,22
170,5,189,39,20
180,1,133,52,22
180,2,255,43,22
180,3,40,48,22
180,4,50,49,23
180,5,142,41,20
190,1,150,56,25
190,2,291,46,24
190,3,89,52,23
190,4,150,52,23
190,5,153,44,22
200,1,116,60,27
200,2,352,48,24
200,3,125,56,25
200,4,26,54,23
200,5,159,46,22
210,1,164,64,29
210,2,163,54,29
210,3,81,61,28
210,4,51,57,24
210,5,91,48,23
220,1,110,69,32
220,2,220,57,30
220,3,92,65,29
220,4,86,61,25
220,5,258,51,24
230,1,114,73,33
230,2,293,60,31
230,3,49,69,31
230,4,198,63,25
230,5,246,54,25
240,1,157,77,34
240,2,250,64,33
240,3,153,74,32
240,4,40,66,26
240,5,182,58,27
250,1,110,81,34
250,2,336,68,35
250,3,168,79,34
250,4,122,71,29
250,5,223,61,28
260,1,101,86,36
260,2,245,72,37
260,3,112,84,35
260,4,94,76,32
260,5,72,65,30
270,1,91,90,36
270,2,317,77,38
270,3,123,88,35
270,4,102,80,33
270,5,227,69,31
280,1,127,94,36
280,2,289,82,40
280,3,103,93,36
280,4,173,84,34
280,5,224,73,32
290,1,139,98,36
290,2,272,87,43
290,3,157,98,38
290,4,158,88,34
290,5,89,77,33
300,1,162,103,38
300,2,226,93,45
300,3,118,106,44
300,4,98,94,37
300,5,70,82,35
310,1,178,108,40
310,2,344,100,48
310,3,128,112,46
310,4,157,99,39
310,5,92,87,37
320,1,85,113,42
320,2,337,107,51
320,3,156,118,48
320,4,197,105,42
320,5,219,93,40
330,1,202,119,44
330,2,379,114,54
330,3,75,123,48
330,4,91,111,45
330,5,190,98,41
340,1,120,124,44
340,2,232,121,56
340,3,155,130,50
340,4,62,117,46
340,5,188,103,42
350,1,135,129,45
350,2,230,129,59
350,3,113,136,52
350,4,115,123,46
350,5,128,108,44
360,1,195,134,46
360,2,373,137,61
360,3,164,144,55
360,4,112,128,47
360,5,123,114,46
370,1,90,139,47
370,2,268,146,64
370,3,71,151,58
370,4,41,135,49
370,5,245,120,47
380,1,94,144,47
380,2,274,155,69
380,3,161,159,60
380,4,199,142,51
380,5,267,125,47
390,1,134,151,49
390,2,222,166,74
390,3,104,166,62
390,4,149,150,54
390,5,124,131,49
400,1,186,156,49
400,2,386,176,76
400,3,138,174,63
400,4,75,157,56
400,5,267,138,51
410,1,185,163,52
410,2,404,186,78
410,3,25,183,67
410,4,72,164,57
410,5,198,146,54
420,1,106,168,52
420,2,357,198,83
420,3,121,191,69
420,4,70,172,59
420,5,105,153,57
430,1,132,175,53
430,2,388,211,89
430,3,47,201,72
430,4,177,180,60
430,5,190,159,57
440,1,122,181,55
440,2,374,223,92
440,3,74,210,74
440,4,52,190,66
440,5,83,168,61
450,1,148,188,55
450,2,359,235,96
450,3,35,219,75
450,4,147,197,66
450,5,156,176,64
460,1,60,194,56
460,2,324,249,101
460,3,5,229,78
460,4,57,207,69
460,5,197,183,65
470,1,20,201,57
470,2,418,260,102
470,3,182,239,80
470,4,106,216,71
470,5,113,192,68
480,1,141,208,58
480,2,428,267,106
480,3,141,248,81
480,4,67,219,73
480,5,155,199,68
490,1,133,215,59
490,2,448,279,108
490,3,134,258,83
490,4,173,228,75
490,5,250,208,70
500,1,135,221,60
500,2,424,287,111
500,3,41,269,85
500,4,56,218,78
500,5,175,219,75
510,1,116,229,62
510,2,469,302,115
510,3,42,279,86
510,4,197,215,79
510,5,110,227,76
520,1,141,237,63
520,2,494,314,118
520,3,11,289,86
520,4,175,219,80
520,5,127,237,79
530,1,52,246,68
530,2,581,328,120
530,3,43,299,87
530,4,196,229,81
530,5,80,248,82
540,1,196,255,71
540,2,572,343,123
540,3,192,309,87
540,4,184,234,82
540,5,235,257,83
550,1,124,263,73
550,2,467,358,126
550,3,78,319,88
550,4,35,245,83
550,5,179,269,87
560,1,177,273,75
560,2,585,375,130
560,3,77,329,88
560,4,63,255,84
560,5,273,280,89
570,1,112,281,76
570,2,438,387,135
570,3,60,339,88
570,4,8,266,86
570,5,148,292,91
580,1,12,290,76
580,2,435,407,142
580,3,100,349,88
580,4,31,276,86
580,5,258,303,93
590,1,150,299,78
590,2,510,415,144
590,3,44,359,88
590,4,100,280,88
590,5,246,315,95
600,1,33,308,78
600,2,420,432,148
600,3,21,366,87
600,4,130,286,91
600,5,188,324,100
610,1,22,317,78
610,2,419,439,151
610,3,197,377,89
610,4,44,279,92
610,5,199,337,103
620,1,25,327,80
620,2,486,449,156
620,3,78,387,90
620,4,45,290,93
620,5,255,349,104
630,1,9,337,82
630,2,475,466,158
630,3,84,397,90
630,4,82,296,94
630,5,223,361,104
640,1,26,347,84
640,2,520,489,165
640,3,54,401,91
640,4,60,308,96
640,5,290,369,106
650,1,62,357,85
650,2,500,506,166
650,3,83,411,90
650,4,76,305,98
650,5,325,382,108
660,1,69,367,86
660,2,428,513,169
660,3,15,422,91
660,4,77,311,100
660,5,277,395,109
670,1,48,377,87
670,2,593,530,175
670,3,55,413,90
670,4,101,308,101
670,5,174,403,113
680,1,63,387,88
680,2,485,545,178
680,3,57,423,90
680,4,94,320,103
680,5,249,416,114
690,1,186,396,88
690,2,500,555,181
690,3,83,433,90
690,4,160,322,103
690,5,127,431,117
700,1,11,407,89
700,2,472,568,184
700,3,33,425,91
700,4,78,333,104
700,5,329,420,118
710,1,20,418,91
710,2,488,590,186
710,3,34,436,92
710,4,94,346,107
710,5,286,435,120
720,1,8,428,91
720,2,661,597,189
720,3,114,446,92
720,4,156,359,109
720,5,321,449,121
730,1,90,438,92
730,2,774,619,191
730,3,111,452,93
730,4,198,368,112
730,5,243,465,124
740,1,80,448,92
740,2,638,644,195
740,3,53,464,95
740,4,107,369,113
740,5,139,481,128
750,1,13,458,92
750,2,771,658,197
750,3,108,475,96
750,4,205,377,117
750,5,140,488,131
760,1,11,469,94
760,2,798,681,198
760,3,71,482,98
760,4,19,387,119
760,5,307,504,133
770,1,48,479,94
770,2,716,704,199
770,3,59,477,101
770,4,46,402,121
770,5,271,514,138
780,1,59,489,94
780,2,696,709,200
780,3,151,482,103
780,4,151,406,123
780,5,164,524,140
790,1,85,499,94
790,2,762,726,203
790,3,66,492,106
790,4,49,415,124
790,5,329,540,140
800,1,46,510,95
800,2,731,750,205
800,3,120,496,107
800,4,162,431,127
800,5,247,549,141
810,1,47,521,96
810,2,742,762,207
810,3,58,495,108
810,4,201,445,129
810,5,285,548,145
820,1,71,532,97
820,2,758,787,210
820,3,137,508,110
820,4,106,457,132
820,5,295,567,150
830,1,122,543,98
830,2,654,811,212
830,3,112,501,113
830,4,191,463,133
830,5,289,581,148
840,1,52,556,101
840,2,709,829,212
840,3,111,508,116
840,4,60,467,137
840,5,220,597,148
850,1,93,568,103
850,2,819,848,214
850,3,126,516,118
850,4,179,477,139
850,5,247,614,148
860,1,79,581,106
860,2,771,863,215
860,3,72,519,119
860,4,181,490,143
860,5,200,631,150
870,1,68,594,109
870,2,632,887,216
870,3,137,528,120
870,4,178,508,146
870,5,326,643,153
880,1,100,608,113
880,2,654,893,217
880,3,160,542,122
880,4,63,501,147
880,5,210,659,153
890,1,204,620,114
890,2,665,918,220
890,3,36,555,122
890,4,104,519,150
890,5,274,677,154
900,1,131,635,118
900,2,802,930,222
900,3,34,533,124
900,4,18,527,154
900,5,329,685,156
910,1,153,648,119
910,2,647,941,222
910,3,82,541,125
910,4,130,540,156
910,5,259,693,158
920,1,53,661,120
920,2,652,961,224
920,3,130,551,127
920,4,167,540,158
920,5,317,699,160
930,1,66,674,120
930,2,794,981,224
930,3,173,560,129
930,4,58,561,163
930,5,187,702,162
940,1,144,688,121
940,2,1546,1000,226
940,3,27,566,128
940,4,83,582,168
940,5,283,710,162
950,1,62,703,124
950,2,6021,1001,228
950,3,116,565,128
