Game Started: 2025-07-31_13-44-00
Turn,FactionID,Population,Soldiers,Territory
10,1,300,12,9
10,2,265,12,9
10,3,260,12,9
10,4,121,12,9
10,5,78,13,9
20,1,319,13,9
20,2,243,12,9
20,3,202,13,9
20,4,124,14,9
20,5,43,14,9
30,1,307,14,9
30,2,407,13,9
30,3,152,14,9
30,4,135,15,9
30,5,20,15,9
40,1,321,15,9
40,2,382,14,9
40,3,298,14,9
40,4,144,16,9
40,5,9,15,9
50,1,319,16,9
50,2,357,15,9
50,3,273,15,9
50,4,155,17,9
50,5,190,16,9
60,1,306,17,9
60,2,342,16,9
60,3,223,16,9
60,4,173,18,9
60,5,167,17,9
70,1,305,18,9
70,2,304,17,9
70,3,184,17,9
70,4,188,19,9
70,5,140,18,9
80,1,317,19,9
80,2,260,18,9
80,3,150,18,9
80,4,213,20,9
80,5,105,19,9
90,1,328,20,9
90,2,430,18,9
90,3,119,18,9
90,4,218,21,9
90,5,100,20,9
100,1,335,21,9
100,2,407,19,9
100,3,278,19,9
100,4,223,22,9
100,5,74,21,9
110,1,340,22,9
110,2,368,20,9
110,3,153,21,10
110,4,156,24,10
110,5,58,22,9
120,1,339,23,9
120,2,321,21,9
120,3,153,22,10
120,4,130,26,11
120,5,41,23,9
130,1,270,25,10
130,2,304,22,9
130,3,146,23,10
130,4,135,28,12
130,5,4,23,9
140,1,300,26,10
140,2,279,23,9
140,3,124,23,10
140,4,294,30,14
140,5,182,24,9
150,1,230,28,11
150,2,254,24,9
150,3,247,25,11
150,4,242,32,14
150,5,55,26,10
160,1,193,30,12
160,2,431,24,9
160,3,276,26,11
160,4,179,34,14
160,5,77,27,10
170,1,256,31,12
170,2,404,25,9
170,3,295,27,11
170,4,132,35,14
170,5,70,28,10
180,1,326,32,12
180,2,298,27,10
180,3,124,28,11
180,4,291,37,14
180,5,66,29,10
190,1,197,34,12
190,2,325,28,10
190,3,140,30,11
190,4,253,39,14
190,5,168,30,11
200,1,230,37,15
200,2,380,30,12
200,3,282,31,12
200,4,115,41,15
200,5,182,31,11
210,1,279,39,16
210,2,238,31,12
210,3,115,32,12
210,4,249,43,15
210,5,195,32,11
220,1,333,41,17
220,2,296,33,12
220,3,171,34,12
220,4,169,46,16
220,5,11,33,11
230,1,270,44,18
230,2,362,34,12
230,3,296,35,13
230,4,102,50,19
230,5,23,34,11
240,1,272,46,18
240,2,427,35,12
240,3,258,37,14
240,4,200,53,21
240,5,35,36,11
250,1,310,48,18
250,2,279,37,12
250,3,129,38,14
250,4,132,55,21
250,5,33,37,11
