Game Started: 2025-07-31_15-18-30
Turn,FactionID,Population,Soldiers,Territory
10,1,285,13,11
10,2,87,14,10
10,3,71,13,9
10,4,207,14,12
10,5,134,13,9
20,1,342,15,13
20,2,109,16,11
20,3,151,14,10
20,4,154,16,13
20,5,157,14,9
30,1,407,16,13
30,2,188,18,12
30,3,65,17,13
30,4,333,17,14
30,5,199,16,11
40,1,455,17,13
40,2,26,20,13
40,3,129,18,13
40,4,128,20,15
40,5,80,18,11
50,1,325,19,13
50,2,129,23,14
50,3,182,19,13
50,4,261,21,15
50,5,86,20,12
60,1,379,20,13
60,2,46,26,15
60,3,153,21,14
60,4,219,23,15
60,5,127,22,13
70,1,444,21,13
70,2,170,28,16
70,3,18,22,14
70,4,155,24,15
70,5,88,24,13
80,1,309,22,13
80,2,138,31,17
80,3,100,25,16
80,4,205,27,16
80,5,147,26,14
90,1,360,24,13
90,2,120,34,18
90,3,41,28,18
90,4,162,28,16
90,5,124,28,14
100,1,410,25,13
100,2,26,37,20
100,3,8,29,18
100,4,169,31,18
100,5,98,30,14
110,1,472,26,13
110,2,121,42,23
110,3,184,31,18
110,4,160,36,21
110,5,169,32,15
120,1,311,27,13
120,2,153,46,25
120,3,153,33,18
120,4,186,38,22
120,5,49,35,16
130,1,366,29,13
130,2,102,50,26
130,3,140,36,20
130,4,171,42,24
130,5,73,37,16
140,1,227,32,15
140,2,96,54,27
140,3,174,39,22
140,4,290,46,25
140,5,101,39,16
150,1,494,32,15
150,2,108,59,30
150,3,29,41,22
150,4,158,50,27
150,5,130,42,18
160,1,391,35,17
160,2,199,63,31
160,3,179,44,23
160,4,184,55,28
160,5,189,44,18
170,1,490,36,17
170,2,133,67,31
170,3,72,47,23
170,4,319,58,28
170,5,171,47,19
180,1,403,38,17
180,2,130,72,33
180,3,21,50,25
180,4,314,64,32
180,5,110,52,23
190,1,303,39,17
190,2,138,76,33
190,3,84,54,26
190,4,216,68,33
190,5,84,56,25
200,1,406,41,17
200,2,199,81,35
200,3,84,58,28
200,4,196,73,34
200,5,10,59,26
210,1,216,45,20
210,2,146,87,38
210,3,23,61,29
210,4,186,79,37
210,5,145,63,27
220,1,308,48,23
220,2,129,93,40
220,3,77,65,29
220,4,307,84,37
220,5,23,66,27
230,1,349,50,23
230,2,3,100,44
230,3,13,68,30
230,4,259,90,39
230,5,93,70,27
240,1,470,52,24
240,2,25,106,45
240,3,92,72,30
240,4,154,95,40
240,5,149,73,27
250,1,422,55,25
250,2,142,114,49
250,3,155,75,30
250,4,197,101,42
250,5,20,77,29
260,1,382,58,26
260,2,132,122,53
260,3,31,78,30
260,4,204,109,45
260,5,184,82,31
270,1,274,62,28
270,2,84,128,54
270,3,64,82,30
270,4,231,115,47
270,5,62,86,32
280,1,379,64,28
280,2,193,136,56
280,3,138,86,32
280,4,308,123,49
280,5,55,90,32
290,1,414,67,29
290,2,199,145,60
290,3,145,91,35
290,4,251,129,50
290,5,196,95,33
300,1,460,70,30
300,2,113,152,61
300,3,152,96,37
300,4,321,137,52
300,5,100,102,39
310,1,303,73,31
310,2,57,163,67
310,3,120,100,37
310,4,232,143,52
310,5,162,108,40
320,1,466,76,31
320,2,173,172,69
320,3,154,104,37
320,4,276,151,53
320,5,140,113,40
330,1,349,80,32
330,2,21,181,72
330,3,130,110,40
330,4,171,158,54
330,5,41,118,41
340,1,479,83,33
340,2,68,189,72
340,3,90,117,44
340,4,176,166,56
340,5,105,125,45
350,1,337,86,33
350,2,21,199,75
350,3,36,122,45
350,4,331,174,57
350,5,143,132,46
360,1,486,90,34
360,2,168,208,77
360,3,177,128,46
360,4,333,182,58
360,5,11,139,49
370,1,362,94,34
370,2,1,219,79
370,3,176,134,47
370,4,283,190,60
370,5,81,146,51
380,1,399,97,34
380,2,13,228,79
380,3,105,140,49
380,4,148,199,61
380,5,184,153,51
390,1,360,101,35
390,2,46,238,81
390,3,199,147,50
390,4,148,208,63
390,5,120,160,53
400,1,490,105,37
400,2,40,248,82
400,3,120,154,51
400,4,311,217,66
400,5,134,168,54
410,1,457,110,39
410,2,62,258,83
410,3,49,160,52
410,4,336,228,69
410,5,182,175,55
420,1,453,114,39
420,2,5,268,83
420,3,38,166,52
420,4,335,239,73
420,5,13,184,59
430,1,288,121,43
430,2,199,278,84
430,3,77,172,52
430,4,266,248,74
430,5,121,192,61
440,1,348,126,47
440,2,65,288,85
440,3,185,179,53
440,4,245,260,77
440,5,149,200,62
450,1,466,131,47
450,2,197,298,85
450,3,139,186,54
450,4,292,270,80
450,5,39,211,66
460,1,416,136,48
460,2,91,308,86
460,3,119,193,57
460,4,340,281,82
460,5,61,220,67
470,1,326,142,50
470,2,25,319,87
470,3,70,202,61
470,4,185,293,84
470,5,167,230,69
480,1,403,147,51
480,2,11,329,87
480,3,156,210,62
480,4,217,306,89
480,5,66,239,71
490,1,368,153,54
490,2,38,339,87
490,3,75,218,65
490,4,440,316,89
490,5,18,248,71
500,1,406,161,59
500,2,71,349,87
500,3,135,226,66
500,4,320,329,92
500,5,174,258,73
510,1,318,167,59
510,2,72,359,87
510,3,179,226,67
510,4,418,342,96
510,5,68,268,76
520,1,408,168,60
520,2,53,369,87
520,3,106,229,67
520,4,464,355,99
520,5,175,278,77
530,1,391,173,60
530,2,95,379,88
530,3,58,237,67
530,4,398,369,102
530,5,7,288,78
540,1,488,180,61
540,2,50,390,89
540,3,198,245,67
540,4,453,382,104
540,5,82,298,80
550,1,443,186,61
550,2,106,400,89
550,3,133,252,67
550,4,367,396,106
550,5,19,308,80
560,1,324,193,62
560,2,73,411,90
560,3,61,260,67
560,4,333,411,110
560,5,27,318,81
570,1,463,192,63
570,2,103,422,91
570,3,185,268,67
570,4,312,413,116
570,5,16,328,82
580,1,464,193,66
580,2,43,434,93
580,3,96,275,67
580,4,361,415,116
580,5,46,338,83
590,1,417,199,66
590,2,58,446,95
590,3,185,283,67
590,4,303,432,119
590,5,2,348,83
600,1,337,206,66
600,2,129,457,96
600,3,115,290,67
600,4,338,447,122
600,5,1,359,85
610,1,369,213,67
610,2,71,470,99
610,3,54,298,67
610,4,445,429,122
610,5,50,370,87
620,1,488,210,65
620,2,166,482,101
620,3,6,306,67
620,4,355,412,124
620,5,92,381,88
630,1,296,210,66
630,2,176,495,103
630,3,196,314,67
630,4,296,406,124
630,5,66,393,90
640,1,387,216,66
640,2,186,508,105
640,3,147,321,67
640,4,296,421,124
640,5,90,405,92
650,1,405,210,66
650,2,56,523,109
650,3,60,329,67
650,4,381,426,125
650,5,107,418,95
660,1,352,191,67
660,2,136,536,110
660,3,43,337,67
660,4,467,412,127
660,5,52,432,99
670,1,461,198,69
670,2,60,550,112
670,3,121,338,68
670,4,322,427,127
670,5,189,445,102
680,1,369,201,69
680,2,123,564,114
680,3,112,346,68
680,4,441,438,128
680,5,44,458,102
690,1,365,210,71
690,2,158,578,116
690,3,51,354,68
690,4,442,453,128
690,5,70,472,106
700,1,452,217,71
700,2,139,595,121
700,3,26,362,68
700,4,438,468,128
700,5,169,486,109
710,1,475,225,72
710,2,47,609,121
710,3,199,370,68
710,4,412,483,128
710,5,164,502,115
720,1,436,233,74
720,2,192,626,124
720,3,16,378,68
720,4,391,498,128
720,5,146,517,118
730,1,478,242,75
730,2,39,641,125
730,3,136,385,68
730,4,304,505,128
730,5,125,532,121
740,1,466,244,77
740,2,183,658,128
740,3,127,393,68
740,4,342,511,128
740,5,150,548,124
750,1,302,252,78
750,2,103,675,131
