Game Started: 2025-07-31_13-32-46
Turn,FactionID,Population,Soldiers,Territory
10,1,117,7,18
10,2,141,7,18
10,3,141,7,18
10,4,43,7,18
10,5,88,7,18
20,1,80,10,31
20,2,85,10,38
20,3,88,10,38
20,4,196,9,38
20,5,117,10,38
30,1,120,14,41
30,2,103,16,58
30,3,95,16,58
30,4,178,14,53
30,5,137,15,50
40,1,40,19,51
40,2,95,25,78
40,3,149,24,78
40,4,173,20,63
40,5,191,21,63
50,1,47,26,61
50,2,134,35,98
50,3,124,34,98
50,4,81,27,73
50,5,162,28,74
60,1,47,34,71
60,2,163,45,127
60,3,180,44,122
60,4,171,35,83
60,5,88,37,84
70,1,115,43,83
70,2,36,55,167
70,3,36,54,154
70,4,102,45,93
70,5,56,47,94
80,1,147,53,101
80,2,171,65,218
80,3,170,64,194
80,4,73,55,114
80,5,130,57,104
90,1,138,63,141
90,2,45,75,254
90,3,140,74,235
90,4,198,65,126
90,5,47,67,108
100,1,113,73,176
100,2,182,85,284
100,3,171,84,275
100,4,9,75,136
100,5,85,77,123
110,1,169,83,199
110,2,183,95,315
110,3,70,94,303
110,4,59,85,150
110,5,98,87,125
120,1,49,93,219
120,2,457,105,347
120,3,1104,104,328
120,4,57,95,163
120,5,82,97,125
130,1,102,103,239
130,2,575,115,380
130,3,1214,114,357
130,4,704,105,181
130,5,282,106,125
140,1,141,113,264
140,2,584,125,410
140,3,1388,124,375
140,4,1006,115,203
140,5,256,116,125
150,1,220,123,294
150,2,730,135,445
150,3,1409,134,406
150,4,1020,125,207
150,5,281,126,130
160,1,168,133,307
160,2,608,145,468
160,3,1472,144,436
160,4,930,135,207
160,5,432,136,130
170,1,152,143,323
170,2,671,155,478
170,3,1604,154,460
170,4,1050,145,208
170,5,310,146,130
180,1,108,153,329
180,2,576,165,488
180,3,1829,164,489
180,4,1016,155,211
180,5,291,156,132
190,1,109,163,329
190,2,576,175,489
190,3,1754,174,502
190,4,953,165,211
190,5,435,166,132
200,1,218,173,329
200,2,606,185,489
200,3,1755,184,513
200,4,966,175,211
200,5,441,176,132
210,1,61,183,329
210,2,713,195,489
210,3,1671,194,523
210,4,1011,185,211
210,5,410,186,133
220,1,46,193,331
220,2,730,205,495
220,3,1744,204,534
220,4,1001,195,211
220,5,312,196,133
230,1,157,203,331
230,2,550,215,495
230,3,1759,214,537
230,4,969,205,211
230,5,299,206,137
240,1,54,213,333
240,2,719,225,496
240,3,1741,224,537
240,4,1009,215,211
240,5,356,216,137
250,1,193,223,337
250,2,636,235,510
250,3,1717,234,537
250,4,971,225,211
250,5,441,226,137
260,1,44,233,340
260,2,629,245,524
260,3,1727,244,537
260,4,960,235,211
260,5,344,236,137
270,1,89,243,344
270,2,804,255,538
270,3,1780,254,537
270,4,977,245,212
270,5,378,246,137
280,1,117,253,344
280,2,738,265,552
280,3,1851,264,539
280,4,1054,255,219
280,5,257,256,138
290,1,172,263,354
290,2,784,275,562
290,3,2082,274,542
290,4,888,265,229
290,5,360,266,138
300,1,90,273,364
300,2,733,285,572
300,3,1956,284,542
300,4,1072,275,239
300,5,333,276,144
310,1,151,283,374
310,2,666,295,582
310,3,2018,294,544
310,4,1065,285,251
310,5,314,286,144
320,1,109,293,384
320,2,796,305,599
320,3,2049,304,557
320,4,945,295,264
320,5,347,296,144
330,1,204,303,402
330,2,834,315,606
330,3,1993,314,567
330,4,1272,305,275
330,5,306,306,144
340,1,219,313,420
340,2,869,325,612
340,3,2020,324,577
340,4,1245,315,275
340,5,299,316,144
350,1,67,323,424
350,2,826,335,612
350,3,2091,334,577
350,4,1294,325,275
350,5,313,326,144
360,1,207,333,426
360,2,833,345,614
360,3,2105,344,577
360,4,1227,335,275
360,5,340,336,144
370,1,198,343,436
370,2,807,355,618
370,3,1997,354,577
370,4,1198,345,275
370,5,380,346,144
380,1,154,353,438
380,2,791,365,625
380,3,2012,364,582
380,4,1186,355,275
380,5,375,356,144
390,1,177,363,438
390,2,843,375,638
390,3,2017,374,582
390,4,1208,365,280
390,5,383,366,144
400,1,167,373,439
400,2,834,385,638
400,3,2062,384,600
400,4,1264,375,281
400,5,350,376,144
410,1,154,383,439
410,2,906,395,638
410,3,1954,394,617
410,4,1301,385,282
410,5,427,386,144
420,1,149,393,439
420,2,750,405,638
420,3,2031,404,620
420,4,1346,395,282
420,5,448,396,144
430,1,63,403,439
430,2,828,415,638
430,3,1958,414,622
430,4,1296,405,282
430,5,444,406,144
440,1,158,413,441
440,2,906,425,638
440,3,2146,424,631
440,4,1241,415,282
440,5,437,416,144
450,1,211,423,441
450,2,862,435,639
450,3,2351,434,635
450,4,1279,425,282
450,5,309,426,144
460,1,122,433,441
460,2,780,445,639
460,3,2355,444,635
460,4,1222,435,282
460,5,321,436,144
470,1,118,443,441
470,2,808,455,639
470,3,2208,454,635
470,4,1191,445,283
470,5,342,446,144
480,1,222,453,441
480,2,794,465,639
480,3,2203,464,644
480,4,1339,455,283
480,5,407,456,144
490,1,111,463,441
490,2,798,475,640
490,3,2294,474,654
490,4,1294,465,283
490,5,371,466,144
500,1,91,473,441
500,2,927,485,640
500,3,2290,484,660
500,4,1353,475,283
500,5,374,476,144
510,1,237,483,441
510,2,744,495,640
510,3,2366,494,660
510,4,1316,485,284
510,5,372,486,144
520,1,147,493,441
520,2,876,505,640
520,3,2349,504,660
520,4,1269,495,284
520,5,408,496,144
530,1,99,503,441
530,2,925,515,640
530,3,2379,514,660
530,4,1263,505,284
530,5,419,506,144
540,1,122,513,444
540,2,900,525,640
540,3,2386,524,660
540,4,1205,515,285
540,5,261,516,144
550,1,182,523,444
550,2,850,535,641
550,3,2333,534,661
550,4,1271,525,286
550,5,302,526,144
560,1,52,533,444
560,2,879,545,641
560,3,2235,544,665
560,4,1340,535,287
560,5,366,536,144
570,1,125,543,444
570,2,830,555,641
570,3,2309,554,675
570,4,1201,545,288
570,5,443,546,144
580,1,91,553,444
580,2,832,565,642
580,3,2351,564,685
580,4,1228,555,288
580,5,297,556,144
590,1,176,563,445
590,2,776,575,642
590,3,2238,574,691
590,4,1302,565,288
590,5,291,566,144
600,1,214,573,445
600,2,828,585,642
600,3,2199,584,691
600,4,1355,575,290
600,5,358,576,144
610,1,164,583,445
610,2,799,595,642
610,3,2236,594,692
610,4,1197,585,290
610,5,401,586,144
620,1,121,593,447
620,2,882,605,642
620,3,2218,604,692
620,4,1338,595,290
620,5,395,596,144
630,1,190,603,457
630,2,907,615,642
630,3,2291,614,695
630,4,1304,605,292
630,5,441,606,144
640,1,154,613,458
640,2,799,625,642
640,3,2349,624,697
640,4,1367,615,293
640,5,448,616,144
650,1,117,623,458
650,2,866,635,642
650,3,2263,634,706
650,4,1207,625,293
650,5,380,626,144
660,1,83,633,458
660,2,919,645,642
660,3,2342,644,716
660,4,1307,635,294
660,5,392,636,144
670,1,86,643,458
670,2,880,655,642
670,3,2416,654,726
670,4,1315,645,296
670,5,452,646,144
680,1,214,653,462
680,2,754,665,646
680,3,2520,664,737
680,4,1351,655,296
680,5,450,656,144
690,1,39,663,461
690,2,906,675,646
690,3,2665,674,742
690,4,1248,665,296
690,5,319,666,145
